row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Giving emotional support,,,,,,,,,,,,,,,9c861cd2-36a4-4bc4-9a60-dbe91d223550,,execute_actions,740;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,3f69d253-0706-48b9-9421-9dcc15b36629,,split_by_subflow,430;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,f9f284c5-10f8-4b00-9323-e56ddb8cea6f,,split_by_contact_field,410;280
4,send_message,3,,,,,,Be open to your children. They get stressed too - sometimes from different things from you. Allow them to express how they feel and accept their feelings. Try to listen to them and think about how it must feel for them.,,,,,,,,,,,,,,,62cc96ee-f8af-469c-8384-8f953b716263,,execute_actions,3290;520
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,26e59fd9-096c-40ba-90b7-7024526f3774,,split_by_contact_field,370;4560
6,split_by_value,5,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,858e5205-4daf-4e49-a209-6dec5e522927,,split_by_expression,145;4920
7,send_message,6,,@fields.child_nickname,has_text,child_nickname,,Here's a video that can help you teach @fields.child_nickname how to cope with their emotions.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Emotional_Support.m4v,,7444fc33-c0e6-485c-ada4-f3a7bec23680,,execute_actions,20;5120
8,send_message,6,,,,,,Here's a video that can help you teach your child how to cope with their emotions.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Emotional_Support.m4v,,010861b4-355f-4dcb-b491-34635f24ee18,,execute_actions,270;5120
9,split_by_value,5,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,8a96b845-f25e-49b1-bc00-4ef39eecde63,,split_by_expression,945;4700
10,send_message,9,,@fields.child_nickname,has_text,child_nickname,,Here's an audio message that can help you teach @fields.child_nickname how to cope with their emotions.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Emotional_Support.mp3,,,0dd21106-051b-41ce-86ee-fcf8159d2065,,execute_actions,820;4900
11,send_message,9,,,,,,Here's an audio message that can help you teach your child how to cope with their emotions.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Emotional_Support.mp3,,,937f9012-5ddb-4f10-83ec-1b7e84973ad3,,execute_actions,1070;4900
12,wait_for_response,10;11;7;8,,,,,Result 4,,,,,,,,,,,,,,,,f67f3046-c5a9-46fb-b092-3e4e84748ebf,60,wait_for_response,3370;5260
13,start_new_flow,12;12;5,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,1ae39602-45c0-40ae-8a47-1892d059801a,,split_by_subflow,1150;5680
14,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,,,,,3d4ee707-0323-40bb-afd0-436ec1285b73,,execute_actions,3290;760
15,wait_for_response,14,,,,,Result 12,,,,,,,,,,,,,,,,c0524bb8-5de7-4051-a9b9-70b3bacacf38,3600,wait_for_response,3290;4500
16,go_to,15,y yes,,has_any_word,Y,,5,,,,,,,,,,,,,,,,,,
17,send_message,15,,,,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,,,,,2e134324-d297-4e1c-a012-c61e16dfc000,,execute_actions,4270;4480
18,go_to,17,,,,,,14,,,,,,,,,,,,,,,,,,
19,send_message,15;15,no n;No Response,,has_any_word;,No;,,"That's okay! You can always type ""Help"" if you want to receive more tips about how to manage your child's behaviour.",,,,,,,,,,,,,,,72967bb6-b7e5-407e-8edd-4d1f1e202e6e,,execute_actions,4290;5140
20,send_message,13;13,Complete;Expired,,,,,"Here are some tips for how we can help our children learn how to cope with their emotions:

1. Be open to your child
2. Share your own feelings
3. Help your child learn how to talk about feelings
4. Talking about difficult emotions
5. Notice the positive emotions
6. Show your child that you care

To learn more about one of these, type ""1"" to ""6"". You can also type ""N"" to stop this tip.",,,,,,,,,,,,,,,1ffb85bd-9326-478d-ba27-51524b15e821,,execute_actions,1440;5820
21,wait_for_response,20,,,,,list_of_tips,,,,,,,,,,,,,,,,ccb93138-3afe-48f2-8e34-f7846afcc524,,wait_for_response,1440;6240
22,send_message,21,1,,has_number_eq,1,,"1. Be open to your child

Your child will look to you for support and reassurance. Listen to your children when they share how they are feeling. Accept how they feel and give them comfort.",,,,,,,,,,,,,,,017fb8bc-3ea2-439d-9f32-3beab5e1483e,,execute_actions,;6440
23,send_message,21,2,,has_number_eq,2,,"2. Share your own feelings

When you share your own feelings with your children, you help them recognise their own feelings. It can also help your children learn self-discipline and to understand their own feelings.",,,,,,,,,,,,,,,830b6338-05fa-4c38-9080-e08f1a492328,,execute_actions,740;6460
24,send_message,21,3,,has_number_eq,3,,"3. Help your child learn how to talk about feelings

There are 6 basic emotions: Happy, Sad, Angry, Disgusted, Surprised, and Afraid. Even babies can feel and express these emotions. As children get older, they learn to identify lots of other emotions, like excited, frustrated, proud, lonely, peaceful, guilty, or confused.",,,,,,,,,,,,,,,1a4c1dd3-e27e-419f-bf1f-dc06f739c91b,,execute_actions,1480;6460
25,send_message,21,4,,has_number_eq,4,,"4. Talking about difficult emotions

It is normal to have difficulty talking about and expressing emotions and feelings. Many of us were told not to cry when we were sad or laugh when we were happy. This may be especially the case for boys and men.",,,,,,,,,,,,,,,16ef8d05-7f2b-4968-94f1-81827652b637,,execute_actions,3700;6460
26,send_message,25,,,,,,"But we all have the same feelings, and  we can learn how to become aware of our own emotions, to experience them in our body, and to communicate about them.",,,,,,,,,,,,,,,ba4640d8-b046-4c51-81d5-a3d7cfd40b78,,execute_actions,3700;7180
