row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Establishing daily routines,,,,,,,,,,,,,,,7dbe3838-b3bd-45d9-8335-82d88747377e,,execute_actions,20;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,bf60228b-4980-4f81-aa9c-044ae5a466f3,,split_by_subflow,20;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,3114d033-0b29-473a-801d-347c7793a5bf,,split_by_contact_field,;320
4,send_message,3,,,,,,"Create routines! Your children will feel more secure and safe when they know what is expected of them and how each day will go. Make a plan with them with time for play, meals, chores, school, and sleep.",,,,,,,,,,,,,,,4fd6b92d-5b05-41ee-bcdc-f35bb51bbbb3,,execute_actions,260;420
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,18b492ea-06e0-4a9f-b974-36620bf57cad,,split_by_contact_field,240;1060
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you create daily routines with your children.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Structure_Up.m4v,,4ec7971b-b6b6-4dee-a304-aeb4dc219978,,execute_actions,;1260
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Here's an audio message to help you create daily routines with your children.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Structure_Up.mp3,,,331d8bbb-a181-4ed7-bc59-c9a5b735c680,,execute_actions,240;1260
8,wait_for_response,6;7,,,,,Result 4,,,,,,,,,,,,,,,,58538004-f2ac-4ad9-8487-fdfd5fbb332e,120,wait_for_response,100;1480
9,send_message,5;8;8,;;No Response,,,,,"Daily routines, such as time for schoolwork, play, meals, and sleep, can help our children feel safe and secure. They also give our children a sense of security.",,,,,,,,,,,,,,,96765ff8-6fa6-4237-9696-6924598111b8,,execute_actions,2450;1540
10,start_new_flow,9,,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,d344b2c7-5b91-4f86-903d-38d63507e529,,split_by_subflow,2510;1720
11,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,,,,,630957b8-baef-4ee2-9118-525264e8f7d7,,execute_actions,260;660
12,wait_for_response,11,,,,,Result,,,,,,,,,,,,,,,,bce5f212-1e09-4794-add6-c640f01c8f09,3600,wait_for_response,2250;820
13,go_to,12,y yes,,has_any_word,Y,,5,,,,,,,,,,,,,,,,,,
14,send_message,12,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,459db7ad-6531-4a83-9c5e-7b309f8febf5,,execute_actions,2510;580
15,go_to,14,,,,,,11,,,,,,,,,,,,,,,,,,
16,send_message,12;12,n no;No Response,,has_any_word;,N;,,"That's okay! You can always type ""Help"" if you want to receive more tips about how to manage your child's behaviour.",,,,,,,,,,,,,,,e9bbd795-cd70-4e00-a065-4081e0b893bb,,execute_actions,2550;940
17,send_message,10;10,Complete;Expired,,,,,"Here are 4 simple tips that you can use when establishing routines with your children: 

1. Give one instruction at a time
2. Use transition warnings to help move from one activity to the next one
3. Create regular eating and sleeping times
4. Involve your child in creating daily routines

To learn more about one of these tips, type ""1"" to 4"". You can also type ""N"" to stop this tip.",,,,,,,,,,,,,,,4d2fde4d-7586-48ab-95b3-d5b06b5f0ae1,,execute_actions,140;1740
18,wait_for_response,17,,,,,list_of_tips,,,,,,,,,,,,,,,,0a3b643d-9e55-425b-8612-0da9b2069fc5,,wait_for_response,2150;2040
