row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,a233abf6-849a-4efb-b8d1-cb1123a849ee,,split_by_expression,1955;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,0548f5b3-11e4-4ad4-983a-a647efdd9a79,,split_by_expression,1705;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Have you been able to support @fields.child_nickname's learning and education recently?,Yes,No,,,,,,,,,,,,,960a3c73-3dbc-4fb8-8020-04b31b5bdc90,,execute_actions,1580;600
4,send_message,2,,,,,,Hi @fields.user_name! Have you been able to support your child's learning and education recently?,Yes,No,,,,,,,,,,,,,23100788-55c1-4f2e-bc98-e356469b89dc,,execute_actions,1830;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,ed1db895-2985-4038-8ffa-105712095400,,split_by_expression,2205;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Hi! Have you been able to support @fields.child_nickname's learning and education recently?,Yes,No,,,,,,,,,,,,,3fabdf86-cf1e-4ed2-822f-401c29de98ca,,execute_actions,2080;600
7,send_message,5,,,,,,Hi! Have you been able to support your child's learning and education recently?,Yes,No,,,,,,,,,,,,,246a4260-2c51-4a77-8588-91700f69d936,,execute_actions,2330;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,b0bab225-9ccf-4f81-bafd-2847654e228f,,wait_for_response,2330;760
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,71e4e42d-d5c7-4c41-b82b-49811c4b0b92,,execute_actions,620;740
10,save_value,8,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,1de93c86-cd22-4059-b5ee-bd6751e54f17,,execute_actions,1560;1100
11,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,836995de-60cd-40d8-8337-b5cdff6008f6,,execute_actions,3400;820
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,836995de-60cd-40d8-8337-b5cdff6008f6,,execute_actions,3400;820
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,9,,,,,,@fields.user_name,,,,,,,,,,,,,,,0c4d685f-c7a0-4e9b-8217-cb73816065a7,,split_by_expression,475;840
15,send_message,14,,@fields.user_name,has_text,user_name,,Well done @fields.user_name! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,8bf38068-f9bf-4417-8835-a3402f117196,,execute_actions,350;1040
16,send_message,14,,,,,,Well done! How did it go?,Great,Neutral,Bad,,,,,,,,,,,,f42fc9f0-8638-4caa-b5c2-e81517d9ec24,,execute_actions,600;1040
17,wait_for_response,15;16,,,,,checkin_how,,,,,,,,,,,,,,,,dc1aca26-28f3-42a1-ad03-bbd18a7ef51d,,wait_for_response,330;1280
18,split_by_group,17,great,,has_any_word,Great,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,f6764b56-334b-44f3-a219-26d0d544dd26,,split_by_expression,125;1620
19,send_message,18,ABTest_test-first-person_alternative,,,,,I am happy to hear that it went well Research has found that parental support helps children's academic achievements!,,,,,,,,,,,,,,,1c69cc0e-b2ae-46f9-8019-41654d81967f,,execute_actions,250;1820
20,send_message,18;18,ABTest_test-first-person_Default;,,,,,We are happy to hear that it went well! Research has found that parental support helps children's academic achievements!,,,,,,,,,,,,,,,edae0226-94dc-4b0a-b70a-5247ac6041be,,execute_actions,;1820
21,send_message,17,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,9f349672-e1e2-4bce-b74a-f75a99121465,,execute_actions,1130;1600
22,go_to,21,,,,,,14,,,,,,,,,,,,,,,,,,
23,split_by_value,10;17;17,;neutral;bad,,;has_any_word;has_any_word,;Neutral;Bad,,@fields.user_name,,,,,,,,,,,,,,,9d9bf4d3-33d7-423d-b450-efc6b8c6a680,,split_by_expression,2885;1340
24,send_message,23,,@fields.user_name,has_text,user_name,,"That is okay @fields.user_name! Remember you are a parent, not a teacher. What did you find difficult about remote learning?",I don't know what to do with my child,My child does not want to learn,I am feeling overwhelmed,I do not know where to find resources to support my child's learning,I did not have the time to involve myself in my child's learning or education,,,,,,,,,,f0eb52cd-ac3d-43e7-9712-c6b8228abcff,,execute_actions,2760;1540
25,send_message,23,,,,,,"That is okay! Remember you are a parent, not a teacher. What did you find difficult about remote learning?",I don't know what to do with my child,My child does not want to learn,I am feeling overwhelmed,I do not know where to find resources to support my child's learning,I did not have the time to involve myself in my child's learning or education,,,,,,,,,,34188bde-2524-47f9-aaa0-f8286a1f08e6,,execute_actions,3010;1540
26,wait_for_response,24;25,,,,,checkin_problem,,,,,,,,,,,,,,,,2d9edf08-5d05-489a-bdd8-99eb64e52061,,wait_for_response,1540;2480
