row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,70665420-371e-4d39-9835-982c470dad70,,split_by_expression,1415;
2,send_message,1,,@fields.child_nickname,has_text,child_nickname,,Have you noticed and shared emotions with @fields.child_nickname recently?,Yes,No,,,,,,,,,,,,,76d4c01f-b42e-4ca4-bb4a-2c2a825b971b,,execute_actions,1290;200
3,send_message,1,,,,,,Have you noticed and shared emotions with your child or teen  recently?,Yes,No,,,,,,,,,,,,,c3ee8f78-28df-47b1-8502-4888000339a7,,execute_actions,1540;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,5adc0580-977e-40f1-9d25-0f049a327b66,,wait_for_response,1210;400
5,save_value,4,yes y,,has_any_word,yes,last interaction,@(now()),,,,,,,,,,,,,,,d8d66564-ed76-49fa-bcf5-4d3e45e9274f,,execute_actions,950;480
6,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,672d19c0-0682-42e8-a66c-b7051ff524b9,,split_by_expression,535;620
7,send_message,6,,@fields.user_name,has_text,user_name,,Well done @fields.user_name! Using words to describe emotions will help your child manage difficult feelings and enjoy positive ones.,,,,,,,,,,,,,,,572faeb0-f6e3-4179-a63d-beda136ebbfd,,execute_actions,410;820
8,send_message,6,,,,,,Well done! Using words to describe emotions will help your child manage difficult feelings and enjoy positive ones.,,,,,,,,,,,,,,,7eebccab-34e2-4b31-a005-827bba779306,,execute_actions,660;820
9,save_value,4,no n,,has_any_word,no,last interaction,@(now()),,,,,,,,,,,,,,,a14b2da8-05e6-4865-b25e-80100a7da061,,execute_actions,2400;600
10,split_by_value,9,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,cbc69c06-22f1-4920-9170-5573e2ee7c8e,,split_by_expression,2255;900
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,"Noticing and sharing emotions can be difficult at first, but you and @fields.child_nickname will get used to it. Keep trying and you will see the positive change!",,,,,,,,,,,,,,,d67afd02-9fdf-42c4-abc8-9a7b9fc1501d,,execute_actions,2130;1100
12,send_message,10,,,,,,"Noticing and sharing emotions can be difficult at first, but you and your child or teen  will get used to it. Keep trying and you will see the positive change!",,,,,,,,,,,,,,,220dff7e-05af-490f-8516-3e8771d7c613,,execute_actions,2380;1100
13,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,ea173dc4-54a1-406a-992d-b7dce9c9b5fa,,execute_actions,2420;300
14,save_value,13,,,,,last interaction,@(now()),,,,,,,,,,,,,,,9027f158-c406-4d5d-9bb8-56fb917dbb79,,execute_actions,2420;440
15,go_to,14,,,,,,1,,,,,,,,,,,,,,,,,,
16,send_message,7;8,,,,,,How did your child respond?,Positive,Neutral,Negative,,,,,,,,,,,,28297027-dbbd-4bc6-ace6-849d5d4c7225,,execute_actions,390;1200
17,wait_for_response,16,,,,,checkin_how,,,,,,,,,,,,,,,,d1df56ce-3d76-430b-adff-357af1db6022,,wait_for_response,680;1700
18,split_by_value,17,positive,,has_any_word,Positive,,@fields.child_nickname,,,,,,,,,,,,,,,89a1c061-07b1-4c51-b822-fbfdc1bf33de,,split_by_expression,125;2060
19,send_message,18,,@fields.child_nickname,has_text,child_nickname,,"Wonderful! You may even start noticing that @fields.child_nickname is more aware about how you are feeling, too. Keep it up!",,,,,,,,,,,,,,,f22e5fea-a012-4406-96dd-4a866d790e5c,,execute_actions,;2260
20,send_message,18,,,,,,"Wonderful! You may even start noticing that your child or teen  is more aware about how you are feeling, too. Keep it up!",,,,,,,,,,,,,,,187f20b9-be84-415f-b7d6-5831e1a1c425,,execute_actions,250;2260
21,split_by_group,17;17,neutral;negative,,has_any_word;has_any_word,Neutral;Negative,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,1fe04d39-c172-47b9-b23b-a8d93b3cf337,,split_by_expression,1705;1460
22,send_message,21,ABTest_test-first-person_alternative,,,,,I am sorry it did not go well.,,,,,,,,,,,,,,,42614bf9-1a7a-40eb-8e89-0b32509c2830,,execute_actions,1830;1660
23,send_message,21;21,ABTest_test-first-person_Default;,,,,,We are sorry it did not go well.,,,,,,,,,,,,,,,46dccf2a-cab3-44ed-9db0-5fcd3833be2d,,execute_actions,1580;1660
