row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,089abc79-0a1f-49d2-82ea-73cb49338152,,split_by_expression,985;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Have you tried resolving conflict in a calm way even when you have felt frustrated recently?,Yes,No,,,,,,,,,,,,,9acf74ca-7e58-4128-93ad-1348d17645ce,,execute_actions,860;200
3,send_message,1,,,,,,Hi! Have you tried resolving conflict in a calm way even when you have felt frustrated recently?,Yes,No,,,,,,,,,,,,,e1b2045a-e972-4041-8e84-3901a2a9453c,,execute_actions,1110;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,646ddb86-3903-427e-8287-cd8a8471b1e6,,wait_for_response,820;400
5,save_value,4,Yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,e14e5d82-33a1-4221-a68b-5c959839ed14,,execute_actions,20;460
6,save_value,4,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,a7652672-5847-461a-8bde-9a454f6ba226,,execute_actions,1590;580
7,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,dcae34b2-8a73-46c5-aafa-e6c018b0b395,,execute_actions,1550;260
8,save_value,7,,,,,last interaction,@(now()),,,,,,,,,,,,,,,8911d7dc-0f57-4951-bbe3-71c70a92f3c1,,execute_actions,1550;400
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,20f5d7e0-9344-4366-9360-108acad2be92,,split_by_expression,205;600
11,send_message,10,,@fields.user_name,has_text,user_name,,Good job @fields.user_name! Resolving conflicts isn’t always easy. How was your experience?,Great,Neutral,Bad,,,,,,,,,,,,3251369f-780c-4bac-a589-4ff742c921de,,execute_actions,80;800
12,send_message,10,,,,,,Good job! Resolving conflicts isn’t always easy. How was your experience?,Great,Neutral,Bad,,,,,,,,,,,,20074d01-0e92-4b53-9816-ffaa4003f094,,execute_actions,330;800
13,wait_for_response,11;12,,,,,checkin_how,,,,,,,,,,,,,,,,9bdf7fb1-fdac-45b8-9442-1cc4406eb321,,wait_for_response,330;1000
14,send_message,13,great,,has_any_word,Great,,That is great!,,,,,,,,,,,,,,,da5c9397-05c9-4862-b5c0-2d2cc70d3c6b,,execute_actions,;1200
15,send_message,13,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,000bb701-ca33-4b41-a429-0648fa120b05,,execute_actions,820;920
16,go_to,15,,,,,,10,,,,,,,,,,,,,,,,,,
17,send_message,13;13;6,neutral;bad;,,has_any_word;has_any_word;,Neutral;Bad;,,Sorry to hear this. What was difficult for you about resolving conflicts between you and your partner?,I didn’t stay calm during a disagreement,I got angry and yelled at my partner,My partner got angry and yelled at me,I forgot to take a pause when I started feeling angry,,,,,,,,,,,f4bb0e7c-fd98-411b-8ecc-8f638da69073,,execute_actions,1610;940
18,wait_for_response,17,,,,,checkin_problem,,,,,,,,,,,,,,,,c562a8db-7f3d-415a-8aa2-4c6b2af5862b,,wait_for_response,1730;1320
19,send_message,18,I didn’t stay calm during a disagreement,,has_only_phrase,1,,It can be really hard to stay calm when we’re having a disagreement with others. Try to think of something that you can do that might help like taking a couple deep breaths.,,,,,,,,,,,,,,,3a5179e7-28d7-4a85-a230-6f04a85060a7,,execute_actions,1450;1300
20,send_message,18,I got angry and yelled at my partner,,has_only_phrase,2,,"By taking a pause before responding, it can help us stay calm and respond better. When you feel yourself getting angry, try taking a pause. You can do this!",,,,,,,,,,,,,,,468a58c3-3a4d-45aa-a48b-93c35f1b7121,,execute_actions,1670;1480
21,send_message,18,My partner got angry and yelled at me,,has_only_phrase,3,,"Sometimes others respond to us negatively when we’re having a disagreement. In these situations, it is sometimes best to walk away for a bit until those involved have calmed down.",,,,,,,,,,,,,,,e9b6c06f-dd81-44f3-b9dd-3a0571c0f377,,execute_actions,1890;1480
