row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,0363f559-fdd1-4469-9b90-462736d2c47f,,split_by_expression,2395;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,5adfb798-64d5-46f6-9ee1-5c0db01e0052,,split_by_expression,2145;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Have you recently tried redirecting @fields.child_nickname's behaviour when they were misbehaving?,Yes,No,,,,,,,,,,,,,afa61f29-2309-4d59-9885-c42cc0c297f4,,execute_actions,2020;600
4,send_message,2,,,,,,Hi @fields.user_name! Have you recently tried redirecting your child's behaviour when they were misbehaving?,Yes,No,,,,,,,,,,,,,3e5f6960-a699-4966-a2be-402e01ed5f48,,execute_actions,2270;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,1db788e9-a54e-482e-8874-d8910ffd4e0c,,split_by_expression,2645;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Hi! Have you recently tried redirecting @fields.child_nickname's behaviour when they were misbehaving?,Yes,No,,,,,,,,,,,,,a889a5b7-a0a4-42df-9a97-31bf65eb821e,,execute_actions,2520;600
7,send_message,5,,,,,,Hi! Have you recently tried redirecting your child's behaviour when they were misbehaving?,Yes,No,,,,,,,,,,,,,85efec73-1712-4752-afd3-64fafbcab4b7,,execute_actions,2770;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,904fa405-c0cb-4e76-9174-40a35c6c1813,,wait_for_response,2000;800
9,save_value,8,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,56f13045-1894-4d03-a7b3-f81660e53948,,execute_actions,3260;1580
10,send_message,9,,,,,,"That's okay. It can be hard sometime to remember. Next time you notice that your child is beginning to get restless, try distracting them. You can try and play a fun game together!",,,,,,,,,,,,,,,56f13045-1894-4d03-a7b3-f81660e53948,,execute_actions,3260;1580
11,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,8af841ec-3d4c-49c6-b22c-3345989f5b68,,execute_actions,3460;740
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,8af841ec-3d4c-49c6-b22c-3345989f5b68,,execute_actions,3460;740
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,8,yes y,,has_any_word,Yes,,@fields.user_name,,,,,,,,,,,,,,,55a53d6d-26d4-48d7-b2b2-cc5e2724a79e,,split_by_expression,765;940
15,split_by_value,14,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,6a09209e-477b-4b8a-85b2-7d5875c71e30,,split_by_expression,515;1140
16,save_value,15,,@fields.child_nickname,has_text,child_nickname,last interaction,@(now()),,,,,,,,,,,,,,,827d85af-19b8-49ea-8881-f5a8b795d5ea,,execute_actions,390;1540
17,send_message,16,,,,,,"Well done, great job for remembering @fields.user_name. How did @fields.child_nickname respond?",Great,Neutral,Bad,I don't know,,,,,,,,,,,827d85af-19b8-49ea-8881-f5a8b795d5ea,,execute_actions,390;1540
18,save_value,15,,,,,last interaction,@(now()),,,,,,,,,,,,,,,29f336e0-71ad-49aa-809b-cc12a3cc8cdb,,execute_actions,640;1540
19,send_message,18,,,,,,"Well done, great job for remembering @fields.user_name. How did your child respond?",Great,Neutral,Bad,I don't know,,,,,,,,,,,29f336e0-71ad-49aa-809b-cc12a3cc8cdb,,execute_actions,640;1540
20,split_by_value,14,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,c198ed9f-fc2e-498a-81fc-6d6989190875,,split_by_expression,1015;1340
21,save_value,20,,@fields.child_nickname,has_text,child_nickname,last interaction,@(now()),,,,,,,,,,,,,,,62b537d4-9430-4c4b-a72a-ac95ecea079a,,execute_actions,890;1540
22,send_message,21,,,,,,"Well done, great job for remembering. How did @fields.child_nickname respond?",Great,Neutral,Bad,I don't know,,,,,,,,,,,62b537d4-9430-4c4b-a72a-ac95ecea079a,,execute_actions,890;1540
23,save_value,20,,,,,last interaction,@(now()),,,,,,,,,,,,,,,81449117-6e0e-4f97-878c-d579b6d1ad96,,execute_actions,1140;1540
24,send_message,23,,,,,,"Well done, great job for remembering. How did your child respond?",Great,Neutral,Bad,I don't know,,,,,,,,,,,81449117-6e0e-4f97-878c-d579b6d1ad96,,execute_actions,1140;1540
25,wait_for_response,17;19;22;24,,,,,checkin_how,,,,,,,,,,,,,,,,703cd0fc-e332-4494-9cf2-a1c8a502853e,,wait_for_response,370;2060
26,split_by_value,25,great,,has_any_word,Great,,@fields.child_nickname,,,,,,,,,,,,,,,5f305bf4-c982-449e-885b-19f3f4c8e8d6,,split_by_expression,125;2300
27,send_message,26,,@fields.child_nickname,has_text,child_nickname,,"That is great! As you begin to redirect @fields.child_nickname's behaviour regularly, you will begin to notice their behaviour improving!",,,,,,,,,,,,,,,04ea0c60-0a1b-43d5-9323-2d1ea7d5d68d,,execute_actions,;2500
28,send_message,26,,,,,,"That is great! As you begin to redirect your child's behaviour regularly, you will begin to notice their behaviour improving!",,,,,,,,,,,,,,,a14d895d-3b4b-44a9-b10b-5ad49277effe,,execute_actions,250;2500
29,split_by_value,25,neutral,,has_any_word,Neutral,,@fields.child_nickname,,,,,,,,,,,,,,,8b4d1d41-0023-463b-9c15-57ba082ec6a7,,split_by_expression,1425;2560
30,send_message,29,,@fields.child_nickname,has_text,child_nickname,,"It is completely normal to experience this challenge. Remember, it takes some time for @fields.child_nickname to get used to you redirecting their behaviour. The more time you spend with them, the better it will go!",,,,,,,,,,,,,,,7a6f3e3c-77b9-4a7e-821b-e377dd0d132d,,execute_actions,1300;2760
31,send_message,29,,,,,,"It is completely normal to experience this challenge. Remember, it takes some time for your child to get used to you redirecting their behaviour. The more time you spend with them, the better it will go!",,,,,,,,,,,,,,,21a4eb08-c3b8-4711-b472-6c5f40eff007,,execute_actions,1550;2760
32,split_by_value,25,bad,,has_any_word,Bad,,@fields.child_nickname,,,,,,,,,,,,,,,f426c5d1-ef3b-4578-bdc8-2c33dbeaf042,,split_by_expression,2955;2820
