row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,aca3a415-ac0e-449b-b123-dce588d448e0,,split_by_expression,1145;
2,send_message,1,,@fields.child_nickname,has_text,child_nickname,,Did you manage to establish ONE rule or daily routine together with @fields.child_nickname?,Yes,No,,,,,,,,,,,,,f72635c8-06e9-4f95-8188-5b9e78a76c81,,execute_actions,1020;200
3,send_message,1,,,,,,Did you manage to establish ONE rule or daily routine together with your child or teen?,Yes,No,,,,,,,,,,,,,58823727-4696-45f3-8dd5-154302fd8e70,,execute_actions,1270;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,4f50ee4e-a407-4734-9f63-302c666c7d6b,,wait_for_response,1270;400
5,save_value,4,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,c604c319-96d9-458a-b7d5-be5c96f87494,,execute_actions,410;500
6,send_message,5,,,,,,"Great to hear it this! Remember, the more we involve our children in setting rules, the more our children will be likely to follow them!",,,,,,,,,,,,,,,5f9f8ee2-5e08-4fe6-93f7-48facd3a71ee,,execute_actions,410;600
7,split_by_value,4,no n,,has_any_word,No,,@fields.child_nickname,,,,,,,,,,,,,,,7452ac46-a37d-4755-83ab-94dc5a93f497,,split_by_expression,1495;620
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Sorry you did not manage to do this yet. Sit down with @fields.child_nickname and try again today - involving your children will make them want to follow the rule more often! ,,,,,,,,,,,,,,,f4d8ca04-1051-4043-945a-a10ebc1bc889,,execute_actions,1370;820
9,send_message,7,,,,,,Sorry you did not manage to do this yet. Sit down with your child or teen and try again today - involving your children will make them want to follow the rule more often! ,,,,,,,,,,,,,,,99c58df2-4d98-454e-9954-d83b06871f41,,execute_actions,1620;820
10,save_value,8;9,,,,,last interaction,@(now()),,,,,,,,,,,,,,,1d4cb213-6f1a-4165-b385-1ffaebfb7cfd,,execute_actions,1910;1020
11,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,ae8fd10b-1f43-482c-9045-6df3ff22fea6,,execute_actions,2210;420
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,4507d363-359a-4690-9a59-8bdc3fc410af,,execute_actions,2210;540
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,send_message,6,,,,,,Did you have any challenges when trying to establish a rule or routine together?,Yes,No,,,,,,,,,,,,,f00f276f-68e5-457e-bd08-805b75491967,,execute_actions,410;980
15,wait_for_response,14,,,,,Result 2,,,,,,,,,,,,,,,,c4c12d25-56b9-4706-8901-f0cd5b4ccc14,,wait_for_response,410;1160
16,split_by_value,15,no n,,has_any_word,No,,@fields.child_nickname,,,,,,,,,,,,,,,9747e856-0c59-4a6a-a234-1bd06615ac6c,,split_by_expression,125;1520
17,send_message,16,,@fields.child_nickname,has_text,child_nickname,,Amazing! Consistent rules and routines help make @fields.child_nickname feel secure. They also keep them safe!,,,,,,,,,,,,,,,46dd3363-c83a-40b0-aac0-e3a3728f8deb,,execute_actions,;1720
18,send_message,16,,,,,,Amazing! Consistent rules and routines help make your child or teen feel secure. They also keep them safe!,,,,,,,,,,,,,,,6edf3059-e128-45e0-90b4-22ae18a304b6,,execute_actions,250;1720
19,send_message,15,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,478038c3-93da-4f2b-a8c0-0b2e4c5e172d,,execute_actions,900;940
20,go_to,19,,,,,,14,,,,,,,,,,,,,,,,,,
21,split_by_value,10;15,;yes y,,;has_any_word,;Yes,,@fields.child_nickname,,,,,,,,,,,,,,,ee18c7c3-1bab-4185-9096-3f7078ee0dc5,,split_by_expression,1785;1260
22,send_message,21,,@fields.child_nickname,has_text,child_nickname,,What was difficult for you about establishing a rule or routine with @fields.child_nickname?,My child or teen could not agree on one specific rule or routine,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,,,,,,,,,,b36cc85d-0b2b-486b-9be4-36feafaf48eb,,execute_actions,1660;1460
23,send_message,21,,,,,,What was difficult for you about establishing a rule or routine with your child or teen?,My child or teen could not agree on one specific rule or routine,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,,,,,,,,,,bcf3aed2-8213-46c9-bbf5-3656bfe54891,,execute_actions,1910;1460
24,wait_for_response,22;23,,,,,checkin_problem,,,,,,,,,,,,,,,,3acf68cb-1b93-4f72-8deb-8877e1b473f2,,wait_for_response,2190;1980
25,send_message,24,My child or teen could not agree on one specific rule or routine,,has_only_phrase,My child or teen could not agree on ,,"It is always important when establishing rules and routines  as a family to consider the age of each child, so you can come up with age-appropriate routines. This is most important for bedtime, time to come home/play, household chores. ",,,,,,,,,,,,,,,168854a0-059e-4e4c-86aa-d963f070345a,,execute_actions,1270;2160
26,send_message,24,My children felt it was unfair that they have to follow the rule while I don’t have to follow it,,has_only_phrase,My children felt it was unfair that ,,"We should always remember that children learn best from us. The more we follow the rules, they more they will follow the rules too. You can adjust the rule to make sure that it is realistic for everyone to follow it, considering their responsibilities (for example school or work activities).",,,,,,,,,,,,,,,59e040ac-43cb-4ae3-930b-763503173a6b,,execute_actions,2070;2200
27,send_message,24,I felt uncomfortable because I feel I should be the one establishing the rule not my child or teen,,has_only_phrase,I felt uncomfortable because I feel ,,"When we establish rules together with our children, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,,,,,b6b0570e-d3ca-4728-bc02-0eb989426494,,execute_actions,2290;2240
28,send_message,24,"My partner felt uncomfortable, because they feel they should be the one establishing the rule, not the child or teen",,has_only_phrase,"My partner felt uncomfortable, becau",,"When we establish rules together with our children or teens, that helps the family to understand each other better. The rules will be more realistic and our children will be more willing and able to follow the rule.",,,,,,,,,,,,,,,d5960179-08ac-4de4-9307-7d5e2a903f57,,execute_actions,2530;2220
