row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,ea39292c-e8cb-447e-adff-b81129840fe4,,split_by_expression,2455;
2,split_by_value,1,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,18b0b4f6-28a9-43de-b16a-87e4e8fbfb86,,split_by_expression,2205;200
3,send_message,2,,@fields.child_nickname,has_text,child_nickname,,Hi @fields.user_name! Were you able to talk to @fields.child_nickname about safe and unsafe touch?,Yes,No,,,,,,,,,,,,,21b5f460-aee9-43da-9f0b-01cba98a956d,,execute_actions,2080;600
4,send_message,2,,,,,,Hi @fields.user_name! Were you able to talk to your child about safe and unsafe touch?,Yes,No,,,,,,,,,,,,,56f9c2ff-f188-4828-b9a8-a898bf577c80,,execute_actions,2330;600
5,split_by_value,1,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,5b8e52be-812d-4ca1-b8c8-6ff014a727a6,,split_by_expression,2705;400
6,send_message,5,,@fields.child_nickname,has_text,child_nickname,,Hi! Were you able to talk to @fields.child_nickname about safe and unsafe touch?,Yes,No,,,,,,,,,,,,,7821bae3-a4c9-4502-aec4-367ffc0655ce,,execute_actions,2580;600
7,send_message,5,,,,,,Hi! Were you able to talk to your child about safe and unsafe touch?,Yes,No,,,,,,,,,,,,,b574b0e6-3161-4eec-ac25-d9a3cdf2ba83,,execute_actions,2830;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,b5835819-c758-4d87-bd4e-09577826275e,,wait_for_response,2830;760
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,001b45c3-998f-480d-bf53-a1ec680203a0,,execute_actions,1120;740
10,save_value,8,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,c7c08c88-6131-43f0-b0ad-4814f7e72481,,execute_actions,2060;1100
11,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,be419774-1e48-4113-9159-e6014fd571f5,,execute_actions,3900;820
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,be419774-1e48-4113-9159-e6014fd571f5,,execute_actions,3900;820
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
14,split_by_value,9,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,53ac936c-8b82-42f5-b6dc-8abd09414281,,split_by_expression,975;840
15,send_message,14,,@fields.child_nickname,has_text,child_nickname,,"Well done, that is not very easy to do @fields.child_nickname! How did it go?",Great,Neutral,Bad,,,,,,,,,,,,e9326385-10c0-4201-879c-b7ffd4043f68,,execute_actions,850;1040
16,send_message,14,,,,,,"Well done, that is not very easy to do! How did it go?",Great,Neutral,Bad,,,,,,,,,,,,5f27bca7-35cc-4bbf-8cd7-064464fcbf17,,execute_actions,1100;1040
