row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Keeping your child safe online,,,,,,,,,,,,,,,785072c0-89f7-43d1-ab6e-7cfe264c0b9f,,execute_actions,610;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,215be7b7-2c4d-4b4e-8ae3-a9a98c47b1b2,,split_by_subflow,1060;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,5ca883d0-ecd3-4cb2-af9b-e33524b4ff9b,,split_by_contact_field,350;280
4,send_message,3,,,,,,Our children and teens are now spending a lot more time online. Being connected helps them stay positive…but it also presents risks and dangers.,,,,,,,,,,,,,,,61025f26-dcb7-49a7-a18c-bfeded7dcb99,,execute_actions,1120;520
5,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,451e4d79-f810-411d-8482-014096be1f26,,split_by_contact_field,670;840
6,send_message,5,high,@fields.type_of_media,has_any_word,High,,Here's a video to help you keep your children safe online.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Online_Child_Safety.m4v,,61dbdca0-e078-4923-a82a-a5d795180bb6,,execute_actions,350;940
7,send_message,5,medium,@fields.type_of_media,has_any_word,Medium,,Here's an audio message to help you keep your children safe online.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Online_Child_Safety.mp3,,,88d4bc8a-c43f-4d42-b7c6-f71ec13af26a,,execute_actions,630;960
8,wait_for_response,6;7,,,,,Result 4,,,,,,,,,,,,,,,,421c40d6-0cd7-4b29-9596-ed9b2a37d183,120,wait_for_response,370;1320
9,start_new_flow,5;8;8,;;No Response,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,66d26200-b337-450a-885d-e622d73271b1,,split_by_subflow,1060;1320
10,send_message,4,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/children_sitting_on_a_couch_with_tablet.jpg,,,,d54c41ba-e696-4792-b9fb-383e102c68d2,,execute_actions,3710;560
11,wait_for_response,10,,,,,Result 3,,,,,,,,,,,,,,,,8a2d6ed0-4535-4415-9943-b2ae98af25e5,3600,wait_for_response,3050;780
12,go_to,11,yes y,,has_any_word,Yes,,5,,,,,,,,,,,,,,,,,,
13,send_message,11,,,,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,,,,,e3431d06-24df-4f7a-8453-7046d9e1c5a7,,execute_actions,4180;820
14,go_to,13,,,,,,10,,,,,,,,,,,,,,,,,,
15,split_by_value,11;11,no n;No Response,,has_any_word;,No;,,@fields.user_name,,,,,,,,,,,,,,,34ef720d-cddd-487b-9e28-68d83e9ecf4e,,split_by_expression,3565;1000
16,send_message,15,,@fields.user_name,has_text,user_name,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later @fields.user_name!",,,,,,,,,,,,,,,7e3ea5b8-3132-4228-b4b7-32fec0d0c8b1,,execute_actions,3440;1200
17,send_message,15,,,,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,,,,,73f84b35-be38-43e5-a9bf-b0c8a7bfbb5c,,execute_actions,3690;1200
