row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Understanding safe/unsafe touch,,,,,,,,,,,,,,,563cf64b-54ca-41db-933b-40b90d2ef722,,execute_actions,1240;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,bd03235f-65c7-4bab-a9e3-6ce6340ac158,,split_by_subflow,1240;120
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,dfbe1970-f4d0-4e2c-a9d6-8d219b41a3b3,,split_by_contact_field,1220;380
4,send_message,3,,,,,,"The idea of talking to children about abuse can be scary. We don't know what to say. But there are some simple things that can help them understand when it is not OK to be touched, and that they can tell you if something ever happens. ",,,,,,,,,,,,,,,90448b56-f3ab-4095-b47d-370c67152160,,execute_actions,690;360
5,send_message,4,,,,,,When you are walking or doing something together it can be easier to chat. ,,,,,,,,,,,,,,,2eb8035f-eb7b-4288-b501-a4aef6f72e50,,execute_actions,180;420
6,split_by_value,3,yes,@fields.from_theme,has_any_word,Yes,,@fields.type_of_media,,,,,,,,,,,,,,,b7b486c2-9150-467e-82d3-6d9aba974adb,,split_by_contact_field,1120;1320
7,split_by_value,6,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,bcf2b430-c5d4-4524-829d-40bdcc63d8dd,,split_by_expression,935;1480
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Here's a video on how you can help protect @fields.child_nickname.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Good_Bad_Touch.m4v,,3f31b82c-2045-416a-9af8-743e44046933,,execute_actions,810;1680
9,send_message,7,,,,,,Here's a video on how you can help protect your child.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/Good_Bad_Touch.m4v,,4d664ef4-05a9-49c0-9d4b-2ee89fb0ca95,,execute_actions,1060;1680
10,split_by_value,6,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,89518d7c-46cd-4ed4-8e9f-3592df4dc2e7,,split_by_expression,1465;1740
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,Here's an audio message on how you can help protect @fields.child_nickname.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Good_Bad_Touch.mp3,,,77ef2d47-b6aa-48c7-942d-02f301226f29,,execute_actions,1340;1940
12,send_message,10,,,,,,Here's an audio message on how you can help protect your child.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/Good_Bad_Touch.mp3,,,e269ae86-8aeb-4e97-b8a9-1ae7ff5305de,,execute_actions,1590;1940
13,wait_for_response,11;12;8;9,,,,,Result 4,,,,,,,,,,,,,,,,aba91b88-498b-4e85-9d53-293c5b8cbb44,120,wait_for_response,1060;2040
14,start_new_flow,13;13;6,;No Response;,,,,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,8cf1ebb6-909e-427c-8bcc-210a819d441a,,split_by_subflow,1100;2220
15,send_message,5,,,,,,Do you want to learn more about how to protect your child from abuse?,Yes,No,,,,,,,,,,,,,9992f69e-e775-4ae0-a5db-0b168427174e,,execute_actions,650;720
16,wait_for_response,15,,,,,Result 1,,,,,,,,,,,,,,,,212c5990-a2a9-4b92-bc2b-2fc5504fc3fa,,wait_for_response,710;1100
17,save_value,16,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,1dea1022-ba65-4e8b-b27d-e5c9cfa6bbf5,,execute_actions,650;1240
18,go_to,17,,,,,,6,,,,,,,,,,,,,,,,,,
19,split_by_value,16,no n,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,4df38554-7dca-4747-985d-f2f9a4fc4895,,split_by_expression,2085;880
20,send_message,19,,@fields.user_name,has_text,user_name,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later @fields.user_name!",,,,,,,,,,,,,,,40f3ac09-95b9-4be2-9554-dd11b7fa5088,,execute_actions,1960;1080
21,send_message,19,,,,,,"That's okay! You can always type ""Help"" at anytime if you need any support with your children. Chat to you later!",,,,,,,,,,,,,,,14cda2b5-8d15-4367-ad69-c2d5e9f3e7a2,,execute_actions,2210;1080
22,save_value,20;21,,,,,last interaction,@(now()),,,,,,,,,,,,,,,969642ba-0bba-4462-a9c2-08ea8cdab0e9,,execute_actions,2250;1260
23,send_message,16,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,86c9628f-ddd4-4fd3-a394-289260840456,,execute_actions,1630;620
24,save_value,23,,,,,last interaction,@(now()),,,,,,,,,,,,,,,2440a5e2-837e-4bea-bb86-0cca5658fd8c,,execute_actions,1670;740
25,go_to,24,,,,,,15,,,,,,,,,,,,,,,,,,
26,send_message,14;14,Complete;Expired,,,,,"Here are 3 things that you should make sure your child knows to protect them from abuse:

1. Learn about private parts
2. Your body belongs to you
3. Bad secrets should be told

Type ""1"" to ""3"" to learn more about these tips. Type ""N"" to stop this tip.",,,,,,,,,,,,,,,64d323af-b8ae-48fb-8ebf-bb1f5324d27d,,execute_actions,280;2160
27,wait_for_response,26,,,,,list_of_tips,,,,,,,,,,,,,,,,3e4b2de9-1fb6-4d76-b6b7-6ed615ae0010,,wait_for_response,120;2500
