row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,a382307c-fce7-4523-8b7d-a69d1b928ad8,,split_by_expression,1045;
2,split_by_group,1,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,b3b209e4-9f0e-4e3b-a0d3-6567fdf4e572,,split_by_expression,795;200
3,send_message,2,ABTest_test-first-person_alternative,,,,,Hi @fields.user_name! I would love to check in with how you are doing! Have you managed to keep calm whenever you get angry over the past few days? ,Yes,No,,,,,,,,,,,,,89ce4435-d9d6-4a0d-bcab-18a7225391af,,execute_actions,920;600
4,send_message,2;2,ABTest_test-first-person_Default;,,,,,Hi @fields.user_name! We would love to check in with how you are doing! Have you managed to keep calm whenever you get angry over the past few days? ,Yes,No,,,,,,,,,,,,,a6024a66-4e7b-42c7-9099-76c0669c373a,,execute_actions,670;600
5,split_by_group,1,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,32f6187d-ea92-4d70-b9d3-9dc5ac3fdf6d,,split_by_expression,1295;400
6,send_message,5,ABTest_test-first-person_alternative,,,,,Hi! I would love to check in with how you are doing! Have you managed to keep calm whenever you get angry over the past few days? ,Yes,No,,,,,,,,,,,,,ae47296f-15e7-4e10-96ce-f112e5e0a8a9,,execute_actions,1420;600
7,send_message,5;5,ABTest_test-first-person_Default;,,,,,Hi! We would love to check in with how you are doing! Have you managed to keep calm whenever you get angry over the past few days? ,Yes,No,,,,,,,,,,,,,fcd8728f-ab4c-4698-a60b-d5e14966f924,,execute_actions,1170;600
8,wait_for_response,3;4;6;7,,,,,checkin_managed,,,,,,,,,,,,,,,,95894689-5ca6-442a-988f-90a34c269e78,,wait_for_response,650;800
9,save_value,8,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,c0934475-6fd0-4927-bd6f-4cb2bfd23ac0,,execute_actions,60;760
10,send_message,9,,,,,,"Great job! You should be proud of yourself! Research shows that every time you control your anger in front of your child, you increase your child's brain development.",,,,,,,,,,,,,,,08033056-eb5a-4474-8d91-8ca892bdbcec,,execute_actions,60;860
11,save_value,8,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,0397abd6-4297-4f7f-9145-284c1ac5acfd,,execute_actions,2010;1020
12,split_by_value,11,,,,,,@fields.age_group_for_tips,,,,,,,,,,,,,,,c8221f4b-8c62-404b-9223-96e0226525b3,,split_by_contact_field,1990;1140
13,split_by_value,12,baby,@fields.age_group_for_tips,has_any_word,Baby,,@fields.child_nickname,,,,,,,,,,,,,,,cbe8b459-cadf-42e7-aab2-c8c01ecaa3c7,,split_by_expression,1785;1240
14,send_message,13,,@fields.child_nickname,has_text,child_nickname,,"Sorry to hear that you are finding this challenging. If you are getting angry because @fields.child_nickname won’t stop crying, it’s OK to leave them on their back in a safe location, like a crib, and walk away for a bit. Stay nearby so that you can monitor @fields.child_nickname. Check on @fields.child_nickname every 5-10 minutes.",,,,,,,,,,,,,,,3ddb4a4c-90ef-476a-b105-bbb0a3b7e7f9,,execute_actions,1660;1440
15,send_message,13,,,,,,"Sorry to hear that you are finding this challenging. If you are getting angry because your baby won’t stop crying, it’s OK to leave them on their back in a safe location, like a crib, and walk away for a bit. Stay nearby so that you can monitor your baby. Check on your baby every 5-10 minutes.",,,,,,,,,,,,,,,98507421-1900-4971-9ed2-22c40c658c1e,,execute_actions,1910;1440
16,send_message,12,,,,,,"It is completely normal to experience this challenge. Next time you feel yourself getting angry try to manage this by taking deep breaths in. This can allow you to relax and reduce stress, which can help with managing your emotions. Every time you do this, you increase your child's brain development!",,,,,,,,,,,,,,,619e5f0f-bab2-417f-a722-1fae6eb33f24,,execute_actions,2170;1440
17,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,a607c7ef-cb66-4fc7-84e4-d8f3c9f0a6c6,,execute_actions,2170;800
18,save_value,17,,,,,last interaction,@(now()),,,,,,,,,,,,,,,a607c7ef-cb66-4fc7-84e4-d8f3c9f0a6c6,,execute_actions,2170;800
19,go_to,18,,,,,,1,,,,,,,,,,,,,,,,,,
20,send_message,10;14;15;16,,,,,,Would you like to review the content?,Yes,No,,,,,,,,,,,,,eb4183b2-955e-4ece-9635-7f111ba87236,,execute_actions,60;1060
21,wait_for_response,20,,,,,Result 2,,,,,,,,,,,,,,,,6c8711cb-8676-41ee-b14a-ec21e02de28b,,wait_for_response,40;1480
22,start_new_flow,21,yes y,,has_any_word,Yes,,PLH - Content - Relax - Anger management,,,,,,,,,,,,,,39f83807-d432-4b59-80d8-6061c761f59c,071d8b8e-5b62-4d08-bac7-0dd7e4d19f42,,split_by_subflow,;1900
23,split_by_value,21,no n,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,151e79ca-de62-415a-9eff-6aede3a0206c,,split_by_expression,425;1660
24,send_message,23,,@fields.user_name,has_text,user_name,,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later @fields.user_name!",,,,,,,,,,,,,,,32a21c1e-4320-46a4-87d8-1c4e4a526078,,execute_actions,300;1860
25,send_message,23,,,,,,"That is okay! Remember you can access parenting content at anytime by typing ""Help"". Chat to you later!",,,,,,,,,,,,,,,9960a25d-158f-4b43-9281-a57562ae867c,,execute_actions,550;1860
26,send_message,21,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,9ce108fb-b884-45b8-9d03-61cb9a2fbf80,,execute_actions,1440;1520
27,go_to,26,,,,,,20,,,,,,,,,,,,,,,,,,
