row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,Taking a Pause,,,,,,,,,,,,,,,01ed46a9-4450-4c17-a102-4be9d7f55303,,execute_actions,730;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,8770a6ca-1cab-403e-b86e-0dc3b83255a8,,split_by_subflow,770;80
3,split_by_value,2;2,Complete;Expired,,,,,@fields.user_name,,,,,,,,,,,,,,,7564cc47-9389-4c54-9ae1-a8e97995857f,,split_by_expression,1555;300
4,split_by_value,3,,@fields.user_name,has_text,user_name,,@fields.gender_personalisation,,,,,,,,,,,,,,,4ae06d02-0fd2-489b-9dd0-b6f741b4188e,,split_by_expression,1180;500
5,send_message,4,man,@fields.gender_personalisation,has_any_word,man,,"Hello @fields.user_name! This is a stressful time, especially for fathers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,545e10b4-eece-43cf-8d53-ffcb1c253448,,execute_actions,930;900
6,send_message,4,woman,@fields.gender_personalisation,has_any_word,woman,,"Hello @fields.user_name! This is a stressful time, especially for mothers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,b29248cf-3f32-4729-8b92-0acaf1a9a13d,,execute_actions,1180;900
7,send_message,4,,,,,,"Hello @fields.user_name! This is a stressful time, especially for parents. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,7f3a056e-44c3-45a8-af11-6f7f3bbeb0c9,,execute_actions,1430;900
8,split_by_value,3,,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,b8d90dec-5ee1-46ba-8caa-5d0b55a8f4c3,,split_by_expression,1930;700
9,send_message,8,man,@fields.gender_personalisation,has_any_word,man,,"Hello! This is a stressful time, especially for fathers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,6a574011-c8bc-4b3c-9ad8-6b922e7ed6ad,,execute_actions,1680;900
10,send_message,8,woman,@fields.gender_personalisation,has_any_word,woman,,"Hello! This is a stressful time, especially for mothers. When we are stressed or angry, we do not make the best decisions. Taking the time to care for ourselves will help us care for our children.

Today's tip is about how to keep calm and manage stress in our busy lives. ",,,,,,,,,,,,,,,3c8a5ce6-776a-434a-b8ae-cdb7f41a72c3,,execute_actions,1930;900
