row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,2f65b527-c201-451e-afa9-958065f20170,,split_by_expression,2375;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,Yes,No,,,,,,,,,,,,,5e87478a-e500-43bb-a11d-da96ed254ae5,,execute_actions,2250;200
3,send_message,1,,,,,,Hi! Were you able to spend 5 minutes or more of One-on-One Time with your children today?,Yes,No,,,,,,,,,,,,,65bca871-f778-4cee-8512-88fbe5ac4a16,,execute_actions,2750;200
4,wait_for_response,2;3,,,,,checkin_managed,,,,,,,,,,,,,,,,ac658024-33c3-4ec8-b8d5-aa0151a979fc,,wait_for_response,2750;380
5,save_value,4,yes y,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,526f8c67-5034-4f07-80f5-aa0550e4a64a,,execute_actions,870;340
6,save_value,4,no n,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,5b8eb97e-c201-4bdc-9570-636b2316ebc3,,execute_actions,2770;740
7,save_value,4,,,,,last interaction,@(now()),,,,,,,,,,,,,,,7705caf2-7f6a-435f-92df-56ed398c8063,,execute_actions,5710;700
8,send_message,7,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,3c0acb8c-d5f3-450c-9e0e-e5317d0bd04b,,execute_actions,5850;320
9,go_to,8,,,,,,1,,,,,,,,,,,,,,,,,,
10,split_by_value,5,,,,,,@fields.user_name,,,,,,,,,,,,,,,f9cc0daa-0eaf-4a2c-b418-b65e0b7d3151,,split_by_expression,745;440
