row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_flow_result,start,,,,,skill,One-on-one time,,,,,,,,,,,,,,,12af35cd-fcd1-414f-98f3-42d19e2f6bc2,,execute_actions,2220;
2,start_new_flow,1,,,,,,PLH - Internal - Update incomplete toolkits,,,,,,,,,,,,,,5754719c-42f8-4256-82c4-7953bc4870ec,6bf0e550-d941-4918-8daf-a5a9af74f746,,split_by_subflow,2220;160
3,split_by_value,2;2,Complete;Expired,,,,,@fields.from_theme,,,,,,,,,,,,,,,2bc41b56-90b9-4505-b7c9-9e0314ef621e,,split_by_contact_field,1890;300
4,send_message,3,,,,,,"Invest in One-on-One Time! The more time you spend with your children, the more likely they will listen to you and behave well at other times. It really works!",,,,,,,,,,,,,,,d114a1b0-8392-4811-9189-274c0671cdb0,,execute_actions,3750;280
5,split_by_value,4,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,4207c4a6-b4c1-455d-9f91-80094c7a1e1a,,split_by_expression,3730;500
6,split_by_value,3;5,yes;yes,@fields.from_theme;@parent.results.fromwelcome,has_any_word;has_any_word,Yes;Yes,,@fields.type_of_media,,,,,,,,,,,,,,,bbb6544f-7435-4646-8c36-89d78fb823c5,,split_by_contact_field,1040;980
7,split_by_value,6,high,@fields.type_of_media,has_any_word,High,,@fields.child_nickname,,,,,,,,,,,,,,,1dfcbba6-58d6-41a1-9cde-ed88c1f9a71d,,split_by_expression,1205;1120
8,send_message,7,,@fields.child_nickname,has_text,child_nickname,,Here's a video about spending one-on-one time with @fields.child_nickname!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/One_On_One_Time_Babies.m4v,,17809162-ebe5-46f3-96fd-af4a80323e3d,,execute_actions,1080;1320
9,send_message,7,,,,,,Here's a video about spending one-on-one time with your baby!,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/video/eng/One_On_One_Time_Babies.m4v,,7b9672c2-fb78-425e-b6f3-ab3de5bd404f,,execute_actions,1330;1320
10,split_by_value,6,medium,@fields.type_of_media,has_any_word,Medium,,@fields.child_nickname,,,,,,,,,,,,,,,db85881a-c9e4-4ac8-b5dd-e7dac3a36e35,,split_by_expression,3485;1340
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,Here's an audio message about spending one-on-one time with @fields.child_nickname!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/One_On_One_Time_Babies.mp3,,,6b06b45e-121c-4521-a95e-59e1c3df441a,,execute_actions,3360;1540
12,send_message,10,,,,,,Here's an audio message about spending one-on-one time with your baby!,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/voiceover/resourceType/audio/eng/One_On_One_Time_Babies.mp3,,,c4bcca16-ce33-4a28-a1d3-c55e8eecc79e,,execute_actions,3610;1540
13,wait_for_response,11;12;8;9,,,,,Result 6,,,,,,,,,,,,,,,,8a20c2f2-40c1-4c58-ab8e-090aa48e3eff,120,wait_for_response,1060;1780
14,send_message,13;13;6,;No Response;,,,,,"The first 1000 days of life are a window of opportunity for your baby. It is when their brain develops faster than any other time in their life. When you spend time with your baby, you build a healthy attachment between you both that will make them feel secure and loved. ",,,,,,,,,,,,,,,0a057ff8-8a8b-473e-8b95-65002e4790d4,,execute_actions,1330;2160
15,split_by_value,14,,,,,,@fields.gender_personalisation,,,,,,,,,,,,,,,dd8086a0-61b1-44e2-a9df-70e3684ca60d,,split_by_expression,1600;2480
16,send_message,15,man,@fields.gender_personalisation,has_any_word,man,,"It is normal for men of the family to struggle to think of what to do with their babies, especially when it seems they just eat, sleep, cry, poop, and repeat. It can be especially challenging when your baby is very young and not able to talk to you.",,,,,,,,,,,,,,,3388ceaa-60ad-433b-9618-b4df4addd63b,,execute_actions,1350;2680
17,send_message,15,woman,@fields.gender_personalisation,has_any_word,woman,,"It is normal for mothers to struggle to think of what to do with their babies, especially when it seems they just eat, sleep, cry, poop, and repeat. It can be especially challenging when your baby is very young and not able to talk to you.",,,,,,,,,,,,,,,ac15f5ef-3887-4cb2-9007-3c0ec0f263b3,,execute_actions,1600;2680
18,send_message,15,,,,,,"It is normal to struggle to think of what to do with our babies, especially when it seems they just eat, sleep, cry, poop, and repeat. It can be especially challenging when your baby is very young and not able to talk to you.",,,,,,,,,,,,,,,64b10b3f-cfa3-431b-ac2b-07840014550d,,execute_actions,1850;2680
19,send_message,5,,,,,,Would you like to learn more about this tip?,Yes,No,,,,,,,,,,,,,4d55e9c5-828c-4363-a485-2f411b8688d0,,execute_actions,6340;300
20,wait_for_response,19,,,,,Result 10,,,,,,,,,,,,,,,,ce26a149-a8c5-4229-9fdc-5dd46f8f2be9,,wait_for_response,6340;480
21,go_to,20,Y yes,,has_any_word,Yes,,6,,,,,,,,,,,,,,,,,,
22,send_message,20,no n,,has_any_word,No,,"That's okay! You can always type ""Help"" if you want to receive more tips about how to manage your child's behaviour.",,,,,,,,,,,,,,,e38190fd-18cc-4590-bcf8-9206e136c71d,,execute_actions,6540;620
23,send_message,20,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,1b1553ba-f9df-4d94-b53f-fabbf93f17c9,,execute_actions,6680;400
24,go_to,23,,,,,,19,,,,,,,,,,,,,,,,,,
25,send_message,16;17;18,,,,,,Would you like to learn more?,Yes,No,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/holding_baby.jpg,,,,ae7e4a87-d9e2-4ba7-8877-9f3ad54a1b55,,execute_actions,1330;2920
26,wait_for_response,25,,,,,Result 14,,,,,,,,,,,,,,,,b2623441-2bfc-4ad6-a840-a734d7169ef4,,wait_for_response,1060;3180
27,start_new_flow,26,yes y ,,has_any_word,Yes,,PLH - Internal - Update toolkits,,,,,,,,,,,,,,302bcfa6-93f7-4f45-88b2-2d31ca59a1aa,7b5f7143-25da-4a4c-90d9-6538aa79d8f1,,split_by_subflow,1040;3700
28,split_by_value,26,no n,,has_any_word,No,,@fields.user_name,,,,,,,,,,,,,,,04160740-a52a-4f05-9f1b-58a45a3425a5,,split_by_expression,4205;3300
29,send_message,28,,@fields.user_name,has_text,user_name,,"That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your baby. Chat to you later @fields.user_name!",,,,,,,,,,,,,,,6e26b2a6-f986-4fa2-a86d-065c044ef36a,,execute_actions,4080;3500
30,send_message,28,,,,,,"That's okay! You can always type ""Help"" whenever you want to learn more about how to spend One-on-One Time with your baby. Chat to you later!",,,,,,,,,,,,,,,84b556b1-e48f-47cd-a41b-ff237f42533b,,execute_actions,4330;3500
31,save_value,29;30,,,,,last interaction,@(now()),,,,,,,,,,,,,,,b421f1f2-441e-411c-b4c0-cc24af973504,,execute_actions,6240;3740
32,send_message,26,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,85164942-03b8-4280-a6d1-b5b6293e53f2,,execute_actions,3300;2980
33,go_to,32,,,,,,25,,,,,,,,,,,,,,,,,,
34,send_message,27;27,Complete;Expired,,,,,"Here are 7 easy tips to make One-on-One Time with your baby a success:

1. Do it every day
2. Be close to your baby
3. Let your baby take the lead
4. Observe and listen to your child
5. Play with your baby
6. Talk to your baby
7. You can have quality time with your baby anytime! 

To learn more about one of these tips, type ""1"" to ""7"". You can also type ""N"" to move on.",,,,,,,,,,,,,,,17aa8b69-d0b3-4229-9ff5-6ff66e2542c1,,execute_actions,1060;3840
35,wait_for_response,34,,,,,list_of_tips,,,,,,,,,,,,,,,,22efb328-fa1e-462b-b57a-fda4b0cd4918,,wait_for_response,1020;4420
36,split_by_value,35,1,,has_number_eq,1,,@fields.child_nickname,,,,,,,,,,,,,,,1dc010a1-31c8-4c33-b387-53f9ff92286f,,split_by_expression,125;4560
37,send_message,36,,@fields.child_nickname,has_text,child_nickname,,"1. Do it every day!
Try to spend time playing with @fields.child_nickname every day for at least 20 minutes where you are giving them your full attention. Choose a time when you are unlikely to be interrupted. Switch off the television and put away phones.",,,,,,,,,,,,,,,0c5b30b2-e80a-453a-b047-25693e077f4f,,execute_actions,;4760
38,send_message,36,,,,,,"1. Do it every day!
Try to spend time playing with your baby every day for at least 20 minutes where you are giving them your full attention. Choose a time when you are unlikely to be interrupted. Switch off the television and put away phones.",,,,,,,,,,,,,,,2820563c-0128-4dfb-804f-1dd646eb4b37,,execute_actions,750;4760
39,send_message,35,2,,has_number_eq,2,,"2. Be close to your child. 
Skin-to-skin contact is especially important for new-borns and infants. For older toddlers, make sure you are at the same level as they are.",,,,,,,,,,,,,,,e5cfc3f8-c220-4ca8-b91b-4d0f7f9fbfd9,,execute_actions,2220;4780
40,send_message,35,3,,has_number_eq,3,,"3. Let your baby take the lead
Children need to do things in their own time. Try to give them time to explore and be patient. Remember that the world is brand new to your child!",,,,,,,,,,,,,,,cd4dd600-81d1-426c-9613-b5f49d826fcf,,execute_actions,1020;5020
41,split_by_value,40,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,abf6585c-bd99-41f3-aaf0-f43fe0bfc718,,split_by_expression,895;5440
42,send_message,41,,@fields.child_nickname,has_text,child_nickname,,"Give just enough help to let it be the child’s achievement. It is okay to play alongside and copy what they are doing but try to let them keep the initiative. If @fields.child_nickname gets frustrated, you can reassure @fields.child_nickname by gently stroking their back.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/playing_with_baby_lego.jpg,,,,cde3fdf0-9d4a-4b1b-94cf-b76ef49ad642,,execute_actions,770;5640
43,send_message,41,,,,,,"Give just enough help to let it be the child’s achievement. It is okay to play alongside and copy what they are doing but try to let them keep the initiative. If your child gets frustrated, you can reassure your child by gently stroking their back.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/playing_with_baby_lego.jpg,,,,ac29e254-0284-4254-bbd6-40b444718b78,,execute_actions,1020;5640
44,split_by_value,35,4,,has_number_eq,4,,@fields.child_nickname,,,,,,,,,,,,,,,d5a0a537-dbef-45a1-aba6-8942f826fb39,,split_by_expression,2365;5080
45,send_message,44,,@fields.child_nickname,has_text,child_nickname,,"4. Observe your child. 
See what facial expressions @fields.child_nickname is making. Notice what @fields.child_nickname is interested in or looking at. ",,,,,,,,,,,,,,,d0a715f2-c895-4771-8631-4a06e93367f6,,execute_actions,2240;5280
46,send_message,44,,,,,,"4. Observe your child. 
See what facial expressions your child is making. Notice what your child is interested in or looking at. ",,,,,,,,,,,,,,,a33d4f53-bc3e-4303-b862-09673bb74ba3,,execute_actions,2990;5280
47,split_by_value,45;46,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,e0a82ead-d3a4-4ff9-b158-41313ba3e3c1,,split_by_expression,2095;5920
48,send_message,47,,@fields.child_nickname,has_text,child_nickname,,Listen to the sounds or words @fields.child_nickname is making. You can even make the same sounds by copying @fields.child_nickname!,,,,,,,,,,,,,,,0f7fa2eb-e174-487c-b784-798ce6c6c190,,execute_actions,1970;6120
49,send_message,47,,,,,,Listen to the sounds or words your child is making. You can even make the same sounds by copying your child!,,,,,,,,,,,,,,,88fa15d5-179a-4187-8156-38842889d521,,execute_actions,2220;6120
50,split_by_value,35,5,,has_number_eq,5,,@fields.child_nickname,,,,,,,,,,,,,,,b3f31f92-9268-40a8-a9ab-55d1113cbfc8,,split_by_expression,375;6180
