row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_random,start,,,,,,,,,,,,,,,,,,,,,ed6344d3-727b-47fa-9038-2403b9c848db,,split_by_random,4270;
2,split_by_value,1,1,,,,,@fields.user_name,,,,,,,,,,,,,,,98a80996-70c2-4733-9d16-1f312316eba4,,split_by_expression,1205;2120
3,split_by_value,2,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,981aec33-bc7e-4a83-8a4d-529a7ce4ac2b,,split_by_expression,955;2320
4,send_message,3,,@fields.child_nickname,has_text,child_nickname,,"@fields.user_name, you have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to @fields.child_nickname, are you sure you want to exit the programme?",,,,,,,,,,,,,,,3664c707-156c-4c44-aa53-cdf959a5bb36,,execute_actions,830;3320
5,send_message,3,,,,,,"@fields.user_name, you have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,69d454f3-b6c2-4828-9179-440760000fa6,,execute_actions,1080;3320
6,split_by_value,2,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,03272c0a-7073-48dd-bbe9-1b86954b6a78,,split_by_expression,1455;2520
7,send_message,6,,@fields.child_nickname,has_text,child_nickname,,"You have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to @fields.child_nickname, are you sure you want to exit the programme?",,,,,,,,,,,,,,,aacd6ce5-49cb-49b6-a383-2703673e8a94,,execute_actions,1330;3320
8,send_message,6,,,,,,"You have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far towards being a great parent to your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,3028264c-3926-4ecb-b827-a35365b36e8c,,execute_actions,1580;3320
9,save_value,4;5;7;8,,,,,exit message,gamification,,,,,,,,,,,,,,,b79c6ec1-4cd9-42c7-8b0e-fc27440151e0,,execute_actions,1580;3580
10,split_by_value,1,2,,,,,@fields.parenting_goal,,,,,,,,,,,,,,,0ae65c2c-268e-41c2-9d93-652c0ce9167b,,split_by_contact_field,4290;3680
11,split_by_value,10,1,@fields.parenting_goal,has_number_eq,1,,@fields.user_name,,,,,,,,,,,,,,,8d246732-74a9-4716-8bbe-3b9e3c051a8e,,split_by_expression,1975;4980
12,split_by_value,11,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,6ffd610c-35a1-4564-a717-d20f42a85399,,split_by_expression,1725;5180
13,send_message,12,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your relationship with your child. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,286c8a88-14e4-4e6e-ab18-796e54389731,,execute_actions,1600;5580
14,send_message,12,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your relationship with your child. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,2e452a6d-97a0-4357-a8b8-8824ca7a1ea2,,execute_actions,1850;5580
15,split_by_value,11,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,d7bc8ee3-a509-4f4b-bafd-bcbdcf341074,,split_by_expression,2225;5380
16,send_message,15,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,b30e21ac-dc2e-4d49-8498-1a438627e317,,execute_actions,2100;5580
17,send_message,15,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,39fada12-e830-4547-95a0-682e638fe657,,execute_actions,2350;5580
18,split_by_value,10,2,@fields.parenting_goal,has_number_eq,2,,@fields.user_name,,,,,,,,,,,,,,,4f9a62be-7edd-4fd1-8460-f1baefd0b968,,split_by_expression,3735;5600
19,split_by_value,18,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,ba7ea21f-5662-4923-95ed-ed57bdb4338b,,split_by_expression,3485;5800
20,send_message,19,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your child's behaviour. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,3ca727fc-eed4-4d78-9022-7e09f0656f67,,execute_actions,3360;6200
21,send_message,19,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your child's behaviour. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,271f5eab-150b-45d1-83cb-b0f8f4c20343,,execute_actions,3610;6200
22,split_by_value,18,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,e8470ef4-8b96-456c-ba6f-4427a11260b2,,split_by_expression,3985;6000
23,send_message,22,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of improving your child's behaviour, are you sure you want to exit the programme?",,,,,,,,,,,,,,,7c26e2a5-1f2c-4782-8672-483612350761,,execute_actions,3860;6200
24,send_message,22,,,,,,"Your child has really benefitted from your progress towards reaching your goal of improving your child's behaviour, are you sure you want to exit the programme?",,,,,,,,,,,,,,,0231da35-7fa1-456e-9af7-791eefab36d1,,execute_actions,4110;6200
25,split_by_value,10,3,@fields.parenting_goal,has_number_eq,3,,@fields.user_name,,,,,,,,,,,,,,,565e6c12-992e-464b-9cb5-8720a310cd92,,split_by_expression,4745;6220
26,split_by_value,25,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,873d11e3-f6dc-4680-96e5-95e09c4b22ba,,split_by_expression,4495;6420
27,send_message,26,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of your child improving their performance at school. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,f78c65b4-2c96-4e0e-8562-bfc5b53e8ef5,,execute_actions,4370;6820
28,send_message,26,,,,,,"Your child has really benefitted from your progress towards reaching your goal of your child improving their performance at school. @fields.user_name, are you sure you want to exit the programme?",,,,,,,,,,,,,,,e00951a3-7f76-4092-863c-4ec66b17d9db,,execute_actions,4620;6820
29,split_by_value,25,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,24293a3a-1d69-4b69-afe0-130fd4994445,,split_by_expression,4995;6620
30,send_message,29,,@fields.child_nickname,has_text,child_nickname,,"@fields.child_nickname has really benefitted from your progress towards reaching your goal of your child improving their performance at school, are you sure you want to exit the programme?",,,,,,,,,,,,,,,25b349f8-9983-4e3d-a415-2da07460ad36,,execute_actions,4870;6820
