row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_random,start,,,,,,,,,,,,,,,,,,,,,56fa65be-daea-4d95-9b94-8b35ce762a0b,,split_by_random,1730;
2,split_by_value,1,1,,,,,@fields.user_name,,,,,,,,,,,,,,,81a1c5d4-9f0f-45ae-a18c-620f5f6a9c73,,split_by_expression,205;1280
3,send_message,2,,@fields.user_name,has_text,user_name,,"@fields.user_name, you have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far, are you sure you want to exit the programme?",,,,,,,,,,,,,,,ea54e057-eac2-41d7-8348-9d98def199d9,,execute_actions,80;1480
4,send_message,2,,,,,,"You have collected @fields.n_skills/@fields.total_skills skills! You have shown excellent dedication so far, are you sure you want to exit the programme?",,,,,,,,,,,,,,,a8cfa140-6a0b-424d-8509-63259efad24c,,execute_actions,330;1480
5,save_value,3;4,,,,,exit message,"@(fields.exit_message&""gamification"")",,,,,,,,,,,,,,,47c51190-e82c-4c96-bfcb-d430858f6f2e,,execute_actions,;1700
6,split_by_value,1,2,,,,,@fields.parenting_goal,,,,,,,,,,,,,,,03cea1f3-5b9e-46e7-b40f-443af0f315df,,split_by_contact_field,1710;1680
7,split_by_value,6,1,@fields.parenting_goal,has_any_word,1,,@fields.user_name,,,,,,,,,,,,,,,34049b49-c60a-4038-96cd-abc04033c532,,split_by_expression,825;2640
8,send_message,7,,@fields.user_name,has_text,user_name,,"@fields.user_name, you are on your way to reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,59b94175-6386-42d1-98a6-e74f153f7dcf,,execute_actions,700;2840
9,send_message,7,,,,,,"You are on your way to reaching your goal of improving your relationship with your child, are you sure you want to exit the programme?",,,,,,,,,,,,,,,a499009e-f9bb-4f8a-8325-33be1c2309b4,,execute_actions,950;2840
10,split_by_value,6,2,@fields.parenting_goal,has_any_word,2,,@fields.user_name,,,,,,,,,,,,,,,230835b5-91dd-4062-966b-c101acc18e1b,,split_by_expression,1545;2000
11,send_message,10,,@fields.user_name,has_text,user_name,,"@fields.user_name, you are on your way to reaching your goal of improving your child's behaviour, are you sure you want to exit the programme?",,,,,,,,,,,,,,,ef67c882-5d30-4ac5-bf82-f8d9b4ea6955,,execute_actions,1420;2400
