row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.current_type_assessed,,,,,,,,,,,,,,,23fe67cb-5ef8-4082-a51a-7a27efa4b548,,split_by_contact_field,440;
2,send_message,1,activity,@fields.current_type_assessed,has_any_word,Activity,,How helpful was this activity?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,,,,,9d68db34-bef4-4f05-bb4b-efaf6d588367,,execute_actions,140;80
3,send_message,1,relaxation,@fields.current_type_assessed,has_any_word,Relaxation,,Have these relaxation activities helped reduce the stress in your life?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,,,,,53b9da47-98bb-4c79-a460-57039ea43d39,,execute_actions,420;140
4,send_message,1,checkin,@fields.current_type_assessed,has_any_word,Checkin,,Was this advice helpful?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,,,,,cdd9c40d-88bd-4671-8b75-0c3f2e6083f5,,execute_actions,720;220
5,send_message,1,,,,,,How helpful was this tip?,Not helpful,A little helpful,Helpful,Very helpful,Extremely helpful,Prefer not to answer,,,,,,,,,3e09e83e-5d6a-4326-b2be-1bc636fa2a7f,,execute_actions,980;60
6,wait_for_response,2;3;4;5,,,,,result_response,,,,,,,,,,,,,,,,be33d4ad-e1cb-4225-8115-df266eada7a1,,wait_for_response,320;420
7,save_value,6;6,not helpful;a little helpful,,has_only_phrase;has_only_phrase,not;Little,last feedback,bad,,,,,,,,,,,,,,,ddd78207-728d-40aa-ba3b-1b5e7c376f73,,execute_actions,220;560
8,save_value,6;6;6;6,helpful;very helpful;extremely helpful;prefer not to answer,,has_only_phrase;has_only_phrase;has_only_phrase;has_only_phrase,Helpful;Very;Extremely;Prefer,last feedback,good,,,,,,,,,,,,,,,8fed4ed8-1918-4ad7-90b2-9ffb0a02dfa8,,execute_actions,800;600
9,split_by_value,7;8,,,,,,@fields.feedback_storage,,,,,,,,,,,,,,,c3f3d7f8-fddb-4d1c-b875-acc3f35eb2ad,,split_by_contact_field,460;600
10,save_value,9,"""[""",@fields.feedback_storage,has_only_phrase,"""[""",feedback storage,"@(fields.current_type_assessed & "","" & fields.current_activity & "","" & results.result_response.category & "","" & now())",,,,,,,,,,,,,,,725fb3d2-3816-4c22-b4b2-6a153018d79b,,execute_actions,200;700
11,save_value,9,,,,,feedback storage,"@(fields.feedback_storage & ""|"" & fields.current_type_assessed & "","" & fields.current_activity & "","" & results.result_response.category & "","" & now())",,,,,,,,,,,,,,,4a51247e-be45-4fa5-a91c-b756bf0c7060,,execute_actions,540;720
12,send_message,10;11,,,,,,Thank you for the feedback!,,,,,,,,,,,,,,,80e7e409-2d01-458c-993c-de1970b9ecc6,,execute_actions,360;840
13,save_value,12,,,,,last interaction,@(now()),,,,,,,,,,,,,,,ff46f6c5-9daf-4247-88c3-65e12c2c71f8,,execute_actions,360;1000
14,send_message,6,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,d79e7a60-1d3f-4cd0-8a32-3e8e55a7798a,,execute_actions,1000;420
15,go_to,14,,,,,,1,,,,,,,,,,,,,,,,,,
