row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_random,start,,,,,,,,,,,,,,,,,,,,,1e633b45-6332-4316-9b4e-fda7df022816,,split_by_random,380;120
2,start_new_flow,1,1,,,,,PLH - Activity - Teen - Active - Get Active,,,,,,,,,,,,,,856c4182-a337-4772-8c8c-c7f25bba634b,ce4c2be3-8187-4b3f-b474-e858aeb6ee0f,,split_by_subflow,140;760
3,start_new_flow,1,2,,,,,PLH - Activity - Teen - Active - Co chef,,,,,,,,,,,,,,1ea83951-82c5-4d06-901e-7dab8ad1e94d,092f4a8e-8a08-4415-8142-47c26919cd13,,split_by_subflow,380;760
4,start_new_flow,1,3,,,,,PLH - Activity - Teen - Active - What is new,,,,,,,,,,,,,,1f5c38b2-7d5e-49bd-a380-f4d2c8ef68d4,262d3c19-4561-4f0d-94dd-16d4daafc96f,,split_by_subflow,620;760
5,start_new_flow,1,4,,,,,PLH - Activity - Teen - Active - Dance Choreography,,,,,,,,,,,,,,3d4ecf75-2abb-4392-acb9-13735a86611a,10e7f2e9-121c-4b8c-b3f3-7fdcbdb6761d,,split_by_subflow,860;760
6,start_new_flow,1,6,,,,,PLH - Activity - Teen - Active - Crazy chicken,,,,,,,,,,,,,,a48e544c-931c-4dcb-b2c4-f9f7133571b5,a0f9953e-a5cc-4ec5-8822-c9ccb001714e,,split_by_subflow,240;360
7,start_new_flow,1,7,,,,,PLH - Activity - Teen - Active - Name that tune,,,,,,,,,,,,,,78acddbd-3751-44e1-be90-3da4e18fb291,457b5897-2f56-4437-8da5-e54f36dbddcf,,split_by_subflow,520;400
8,start_new_flow,1,8,,,,,PLH - Activity - Teen - Active - Pass the snap,,,,,,,,,,,,,,422a0db1-471c-48c9-a8ad-b24457c1b40c,cba82375-22da-4137-ba63-92cdac35fcce,,split_by_subflow,800;460
9,start_new_flow,1,9,,,,,PLH - Activity - Teen - Active - Make housework fun,,,,,,,,,,,,,,f30453db-357e-4fc8-9014-cc5dc8a0f838,efaeacd1-a828-42ec-b27e-6b843c076de7,,split_by_subflow,920;300
10,split_by_value,1,10,,,,,@fields.type_of_media,,,,,,,,,,,,,,,85f55aab-3701-48cd-9a74-6061ea72bd75,,split_by_contact_field,1420;280
11,send_message,10,high,@fields.type_of_media,has_any_word,High,,Here is a song made just for parents like you.,,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/video/eng/LetsSlowDown.mp4,,8a8443f0-1340-467c-b6c2-25d503804ed7,,execute_actions,1400;560
12,start_new_flow,1;10,5;low,;@fields.type_of_media,;has_any_word,;Low,,PLH - Activity - Teen - Active - What are you doing,,,,,,,,,,,,,,2928f50b-2d7d-4a8b-bf0b-c23b393358d7,ab0f9689-cbf1-4ba4-a7eb-2b1cf98494ae,,split_by_subflow,1140;460
13,send_message,10,,,,,,Here is a song made just for parents like you.,,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/animated/resourceType/audio/eng/LetsSlowDown.mp3,,,25012f50-97bc-4c4e-846f-fd33480b3eb5,,execute_actions,1500;400
