row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,There are no bad children...only difficult behaviours! All children misbehave but these tips can help.,,,,,,,,,,,,,,,7a727f77-24df-48a1-968b-910eacdd8f99,,execute_actions,660;
2,split_by_value,1,,,,,,@parent.results.fromwelcome,,,,,,,,,,,,,,,90d8bec0-3eb6-443e-837e-3673bbe13f26,,split_by_expression,540;160
3,split_by_value,2,yes,@parent.results.fromwelcome,has_any_word,Yes,,@fields.age_group_for_tips,,,,,,,,,,,,,,,d2a167de-2ae0-4b52-91a5-75518136df63,,split_by_contact_field,460;360
4,save_value,3,baby,@fields.age_group_for_tips,has_any_word,Baby,chosen difficult age,baby,,,,,,,,,,,,,,,719186c6-6c66-4ca0-a6e2-d01fd3988c91,,execute_actions,40;440
5,save_value,3,teen,@fields.age_group_for_tips,has_any_word,Teen,chosen difficult age,teen,,,,,,,,,,,,,,,7781c8ee-e7ab-4d58-ae43-2faaaf6b0e9a,,execute_actions,980;560
6,save_value,3,,,,,chosen difficult age,young child,,,,,,,,,,,,,,,4985068d-4000-48b7-a8ec-77576de793b4,,execute_actions,680;580
7,send_message,2,,,,,,Which child do you want tips for?,Baby,Young child,Teen,,,,,,,,,,,,0f79d79f-f025-42c8-9f31-82a5b6f419a9,,execute_actions,1020;200
8,wait_for_response,7,,,,,Result 13,,,,,,,,,,,,,,,,ce60a796-6755-4fc1-bf4a-48996fb56122,,wait_for_response,1140;340
9,go_to,8,baby,,has_any_word,Baby,,4,,,,,,,,,,,,,,,,,,
10,go_to,8,young child,,has_any_word,Young,,6,,,,,,,,,,,,,,,,,,
11,go_to,8,teen teenager,,has_any_word,Teen,,5,,,,,,,,,,,,,,,,,,
12,send_message,8,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,015b4698-1660-4f9c-9ca7-2d2bbf461e6f,,execute_actions,1300;220
13,go_to,12,,,,,,7,,,,,,,,,,,,,,,,,,
14,send_message,4,,,,,,"Please select the age of your child:
A. Under 1 month
B. 1-2 months
C. 3-5 months
D. 6-9 months
E. 10 -14 months
F. 15-18 months
G. 19-23 months",,,,,,,,,,,,,,,e8466ed2-d3f9-4760-bdc5-cb0a6b339d42,,execute_actions,20;620
15,wait_for_response,14,,,,,AGE BABY,,,,,,,,,,,,,,,,88c5b599-e904-4b4d-a404-aa2cfc418981,,wait_for_response,160;920
16,send_message,15,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,66329979-31d0-4174-9cec-c0eb5afeaf4d,,execute_actions,300;620
17,go_to,16,,,,,,14,,,,,,,,,,,,,,,,,,
18,send_message,5,,,,,,Which behaviour is most like the one you want support for?,Refuses to obey,Gets angry often,"Rudeness, disrespectful behaviour",Irritable or frequent mood changes,Does not follow rules,Stubbornness,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,,,,,f1b57a27-70e1-4b65-b641-6f7a6478b4ae,,execute_actions,1060;780
19,wait_for_response,18,,,,,bahav_teen,,,,,,,,,,,,,,,,27fb5d09-c86c-44e2-ba63-adaa472739e7,,wait_for_response,1120;1100
20,send_message,19,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,6e404bc6-2f2e-4f4c-9adc-6279ac993212,,execute_actions,1480;1100
21,go_to,20,,,,,,18,,,,,,,,,,,,,,,,,,
22,send_message,6,,,,,,Which behaviour is most like the one you want support for?,Refuses to obey,Temper tantrums,Disrespectful behaviour,Whining,"Hyperactivity, can’t sit still",Hitting others,Breaking things,Fighting with others,Teasing or bothering others,Does not apply,,,,,5ddeaf31-69dd-4291-9e81-d2d3cc85357a,,execute_actions,720;740
23,wait_for_response,22,,,,,behav_child,,,,,,,,,,,,,,,,2f63974f-8a13-4def-80be-76baf210eef8,,wait_for_response,720;1100
24,send_message,23,"Hyperactivity,still",,has_any_word,activities,,"It can be exhausting when your children have too much energy or can't focus on one thing. Sometimes, your children need opportunities to be very active and run around to help them be calm afterwards. ",,,,,,,,,,,,,,,f703f0c2-9457-4694-9ecb-d97a33bc87ed,,execute_actions,300;3200
25,send_message,23,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,ddd2cd44-4a82-401c-aa2e-167f6d9134fa,,execute_actions,840;1500
26,go_to,25,,,,,,22,,,,,,,,,,,,,,,,,,
27,send_message,15;15,A UNDER;B 1 2,,has_any_word;has_any_word,A <1;B 1-2,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Does not apply,,,,,,,,,,,d35e18ff-cfe8-459e-9810-e17808dd15c0,,execute_actions,40;1420
28,wait_for_response,27,,,,,behav_baby,,,,,,,,,,,,,,,,96b96654-c9c3-4974-a3f1-b5b7d06f0421,,wait_for_response,40;3880
29,send_message,28,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,5c4309dc-219d-4920-a441-2c4b515a5c1c,,execute_actions,120;4060
30,go_to,29,,,,,,27,,,,,,,,,,,,,,,,,,
31,send_message,15;15,C 3 4 5;D 6 7 8 9,,has_any_word;has_any_word,C 3-5;D 6-9,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Whining,Bad tempered or moody,Problems eating,Stubborn or fussy,Does not apply,,,,,,,8504366a-325c-4fed-9f89-2d790e0a3e3f,,execute_actions,280;1400
32,wait_for_response,31,,,,,behav_baby,,,,,,,,,,,,,,,,81f3793b-137d-4091-9ea1-1224060f9d80,,wait_for_response,460;4000
33,send_message,32,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,2f8bec29-791a-4573-a879-07fb679756a7,,execute_actions,1020;4140
34,go_to,33,,,,,,31,,,,,,,,,,,,,,,,,,
35,send_message,15;15;15,E 10 11 12 13 14;F 15 16 17 18;G 19 20 21 22 23,,has_any_word;has_any_word;has_any_word,E 10-14;F 15-18;G 19-23,,Which behaviour is most like the one you want support for?,Crying a lot,Problems sleeping,Clingy,Whining,Bad tempered or moody,Problems eating,Stubborn or fussy,Naughty behaviour,Temper tantrums,Does not apply,,,,,758da909-8717-45f7-b8ec-ecddff7bb051,,execute_actions,520;1400
36,wait_for_response,35,,,,,behav_baby,,,,,,,,,,,,,,,,3397e2c9-a313-4d9b-91bd-e65a864417d3,,wait_for_response,760;3860
37,send_message,28;32;36,sleeping;sleeping;sleeping,,has_any_word;has_any_word;has_any_word,Sleeping;Sleeping;sleep,,"Unfortunately, your baby will go through phases for the next 2 years of sleeping poorly. Try wearing your baby close to you, feeding them and carrying them in a sling. And hang in there, remember it’s a phase. You and your baby will get through it together!",,,,,,,,,,,,,,,f00154ab-c2d0-47a2-966e-1761d3598356,,execute_actions,80;4280
38,send_message,28;32;36,clingy;clingy;clingy,,has_any_word;has_any_word;has_any_word,Clingy;Clingy;clingy,,Your baby will cry as soon as a caregiver’s attention is diverted and are cranky as well as clingy. Prioritise being there for them and give them physical contact when needed.,,,,,,,,,,,,,,,0600591c-57c3-46d4-bd3a-68a7db69de14,,execute_actions,300;4280
39,send_message,32;36,Whining;whining,,has_any_word;has_any_word,Whining;whining,,"Your baby or toddler may sometimes want something that they cannot have. If they start whining, first check to see if there is something wrong (are they actually hungry or tired)? If they continue, try to redirect their attention to something else. You should also try to ignore their behaviour while attending to them for comfort and support",,,,,,,,,,,,,,,e22551fe-959d-4a7f-9d51-3e67fe822659,,execute_actions,700;4140
40,send_message,32;36,bad tempered moody;bad tempered moody,,has_any_word;has_any_word,Bad;bad temp,,Check to see why your baby is in a bad mood. Are they tired or hungry? Or maybe they are not feeling well? Or maybe they need some more loving attention. Be a reassuring presence for your baby when they are having a difficult day.,,,,,,,,,,,,,,,07e178f1-7275-45d4-b8b1-c0852fd628ec,,execute_actions,900;4460
41,send_message,32;36,eating;eating,,has_any_word;has_any_word,Eating;eat,,"Remember that you’re in charge of what they eat, but not how much. Newborns have stomach the size of a grape! They need to eat often (sometimes in the middle of the night. 
It’s important to build trust around eating, especially as your baby starts on solid food. Let them know you are listening to their wishes in the eating department. They’ll be ravenous again soon!",,,,,,,,,,,,,,,89f09b06-0f40-4c9f-8a3d-6f0df5614210,,execute_actions,1120;4280
42,send_message,32;36,stubborn fussy;stubborn fussy,,has_any_word;has_any_word,Stubborn;stubb,,Babies are much more likely to want to do things if you make the activity fun and playful. Patience is also a must. Take a deep breath if you notice yourself getting frustrated by your baby.,,,,,,,,,,,,,,,5669dfd1-dd6b-40aa-82b6-d6540aae3f0c,,execute_actions,1180;4800
43,send_message,36,naughty,,has_any_word,naughty,,"Pay close attention to your baby in case they try something dangerous! Just because they are able to play on their own now, doesn’t mean you can look away for long. Redirect mischievous behaviours into practice waving, imitation games, singing and moving games and pretending to talk on the phone!",,,,,,,,,,,,,,,cde10c71-81bf-4af6-b39f-dd5341e9d028,,execute_actions,100;4580
44,send_message,36,temper tantrums,,has_any_word,temper,,Try to stay calm and support your toddler as they move through the tantrum. Your priority is to ensure that they don’t hurt themselves. Don’t add to your child’s anger by shouting and showing angry emotions. This won’t help.,,,,,,,,,,,,,,,13c83748-c938-4d43-acf7-a5527510263e,,execute_actions,400;4780
45,send_message,36,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,a1704854-a728-4f3f-8852-6a12f76d5f6b,,execute_actions,1300;4020
46,go_to,45,,,,,,35,,,,,,,,,,,,,,,,,,
47,start_new_flow,19;23,"Refuses,obey,angry,Rudeness,disrespectful,rules,Stubbornness,Breaking,Fighting,Teasing,bothering;Hitting,Breaking,Fighting,Teasing,bothering ",,has_any_word;has_any_word,consequences;consequences,,PLH - Content - Positive - Behave - Consequences,,,,,,,,,,,,,,e5fb19b6-addd-45cc-bad2-dd0861472e13,b7874842-937a-4897-90f8-3850a0202907,,split_by_subflow,980;2900
48,start_new_flow,19,"Irritable,mood",,has_any_word,emotions,,PLH - Content - Positive - Behave - Emotion,,,,,,,,,,,,,,530536dd-3ac9-475c-b80b-b0b0659535cd,96dc1188-2719-44e4-8160-974452e76792,,split_by_subflow,1200;2900
49,send_message,19,apply,,has_any_word,na,,"Here are 8 simple tips to help you with your teen: 
1. Keep it positive
2. Invest in time
3. Create routines
4. Be open to your children
5. Use reasonable consequences
6. Solve problems with your teen
7. Keeping your teen safe online
8. Resolving crises when they happen
Type ""1"" to ""8"" if you want to learn more about a specific strategy.",,,,,,,,,,,,,,,228f36f7-2698-4524-ac91-387e19d7a4de,,execute_actions,1220;1640
50,wait_for_response,49,,,,,tip teen,,,,,,,,,,,,,,,,bc5d8c3a-cddb-489b-9b48-0354f7b1e1de,,wait_for_response,980;2100
51,go_to,50,4,,has_any_word,4,,48,,,,,,,,,,,,,,,,,,
52,go_to,50,5,,has_any_word,5,,47,,,,,,,,,,,,,,,,,,
53,start_new_flow,50,8,,has_any_word,8,,PLH - Content - Positive - Behave - Crisis,,,,,,,,,,,,,,8b191a0a-6f36-4b8b-8211-d0883ce2d564,a3488d15-e93d-4847-9031-20f6a4081881,,split_by_subflow,780;3140
54,send_message,50,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,63febe01-8785-48ee-b786-007616a677b2,,execute_actions,1220;2240
55,go_to,54,,,,,,49,,,,,,,,,,,,,,,,,,
