row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,send_message,start,,,,,,Thanks so much! We all want the best for our children as parents.,,,,,,,,,,,,,,,13808433-c61b-4c59-bcb1-f17cf289499f,,execute_actions,2330;
2,send_message,1,,,,,,Could you please choose the goal that is most important to you as a parent?,Improve my relationship with my child,My child to behave better,Help my child learn,Reduce family stress,Keep my child safe,Learn about child development,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/stressed_parent.jpg,,,,13808433-c61b-4c59-bcb1-f17cf289499f,,execute_actions,2330;
3,wait_for_response,2,,,,,parenting goal,,,,,,,,,,,,,,,,a61af7ac-7a58-40f0-9c36-4cd372a9a334,,wait_for_response,520;400
4,split_by_value,3,Improve my relationship with my child,,has_only_phrase,1,,@fields.age_group_for_tips,,,,,,,,,,,,,,,da0bbcd0-fd2f-4d94-929f-c3385783042a,,split_by_contact_field,80;560
5,send_message,4,baby,@fields.age_group_for_tips,has_any_word,Baby,,"Quick tip: When you give your baby your full attention, you make them feel secure and loved. Try to spend at least 20 minutes a day playing with your baby. Switch off the television and put away phones. Make it fun!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,d5c07b9f-f759-4ffb-96f1-e5e2ceca3124,,execute_actions,;700
6,send_message,4,,,,,,Quick tip: Spending time with your child is free and even 5 minutes a day can make a difference. Try asking your child what they would like to do together. It can be fun and relaxing for you too!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/playing_family.jpg,,,,b2cdf3bf-2541-40b5-ae47-8ab6d40bb2ad,,execute_actions,220;700
7,send_message,3,My child to behave better,,has_only_phrase,2,,"Quick tip: All children misbehave. One thing that can help is to praise your child anytime that they do something good – however small. They may not look like they want your praise but they still really, really do.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/misbehaving_children.jpg,,,,fd70bb97-0765-49aa-82e7-b22956c86a75,,execute_actions,440;700
8,send_message,3,Help my child learn,,has_only_phrase,3,,Quick tip: It is really hard to help our children continue learning when schools are closed or part-open. One thing that might be helpful is to try and set up a daily schedule that includes time for schoolwork and time for fun.,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/Family_writing_together.jpg,,,,6c3b3d34-4133-4c51-8a58-23bb8aa85fdc,,execute_actions,2410;700
9,send_message,3,Reduce family stress,,has_only_phrase,4,,"Quick tip: This is a stressful time for all of us. When a problem comes up, talk about it together! What is the problem exactly? What different solutions are there and what are the consequences of one? That way, you can find a solution that can be OK for everyone.",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/two_parents_talking_together.jpg,,,,9ea498f0-63bf-409a-920c-84ffeaefe0df,,execute_actions,2650;700
10,send_message,3,Keep my child safe,,has_only_phrase,5,,Quick tip: Try to start a conversation with your child about safe and unsafe places in your community and online. They may even know some you don’t. This will help you make a plan together about how to stay safe.,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_child_with_tablet.jpg,,,,6b8d892d-67e2-4477-a51a-8b8032592c5d,,execute_actions,3370;700
11,send_message,3,Learn about child development,,has_only_phrase,6,,Quick Tip: All children develop and grow at different rates. Understanding how your child is developing can help you meet their needs and give them the best start in life. It will also help you understand your child better!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/development.jpg,,,,da7c980e-0cb1-4d23-a7b5-d6f3aa441c44,,execute_actions,3860;740
12,save_value,10;11;5;6;7;8;9,,,,,parenting goal,@results.parenting_goal.category,,,,,,,,,,,,,,,195a15fe-fec2-464b-b6ce-3151853d7691,,execute_actions,2290;1080
13,split_by_group,12,,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,2f20c6e6-ec2b-443e-9768-65642f643034,08026d65-80f8-45d4-bafd-b159ea9f04d6,,split_by_expression,1415;1240
14,split_by_group,13,ABTest_test-gamification_alternative,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,2f20c6e6-ec2b-443e-9768-65642f643034,b67c51eb-4859-4809-a8a5-9be53edff178,,split_by_expression,1915;1640
15,split_by_value,14,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,8d99fdc8-6021-4cfc-ace1-e4027609d7ff,,split_by_expression,2165;2440
16,send_message,15,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have added your first layer to your House of Support.  Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,4c09a7fe-c6bf-4c5f-953e-0381a5e722e3,,execute_actions,2040;2640
17,send_message,15,,,,,,Congratulations! You have added your first layer to your House of Support.  Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,92e3e591-4b84-4327-841e-fcb6e912fa95,,execute_actions,2290;2640
18,split_by_value,14;14,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,1ea4e3c5-1e97-46f0-a484-26aa64db80e9,,split_by_expression,1665;2240
19,send_message,18,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have added your first layer to your House of Support.  Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,d8cd480f-8734-4241-9d42-1711f91a0c1c,,execute_actions,1540;2640
20,send_message,18,,,,,,Congratulations! You have added your first layer to your House of Support.  Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,457ba729-8386-4577-9aa0-97628b44e4fe,,execute_actions,1790;2640
21,split_by_group,13;13,ABTest_test-gamification_Default;,,,,,ABTest_test-gamification_Default,,,,,,,,,,,,,,2f20c6e6-ec2b-443e-9768-65642f643034,ee612267-4bce-42ec-85ad-872bdd2d4538,,split_by_expression,915;1440
22,split_by_value,21,ABTest_test-gamification_alternative,,,,,@fields.user_name,,,,,,,,,,,,,,,d3b46120-c022-497c-868b-1a5fea066fc4,,split_by_expression,1165;2040
23,send_message,22,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have completed your first parenting tip. Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,a8ae61ee-31b0-406c-97c0-b4232af8a7bb,,execute_actions,1040;2640
24,send_message,22,,,,,,Congratulations! You have completed your first parenting tip. Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,"@(fields.house_of_support_path & ""house_"" & fields.n_skills & "".jpg",,,,9525f702-7478-4d2e-a0c6-37f5e26457a7,,execute_actions,1290;2640
25,split_by_value,21;21,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,3e9997cf-2e82-45aa-98ac-a0c8173d9e64,,split_by_expression,665;1840
26,send_message,25,,@fields.user_name,has_text,user_name,,Congratulations @fields.user_name! You have completed your first parenting tip. Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,2abcd67c-60ad-436e-a6f7-df6d7f8381a9,,execute_actions,540;2640
27,send_message,25,,,,,,Congratulations! You have completed your first parenting tip. Setting Goals is the foundation to building a positive relationship between you and your children. Well done!,,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,f0a7debd-dec0-4dcb-a41b-bb6cb9d482a2,,execute_actions,790;2640
28,send_message,3,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,7bdd5304-5e5b-43a8-83f8-43d031d96eff,,execute_actions,2790;400
29,go_to,28,,,,,,null,,,,,,,,,,,,,,,,,,
30,split_by_value,16;17;19;20;23;24;26;27,,,,,,@results.parenting_goal.category,,,,,,,,,,,,,,,21bfdf6f-7775-4242-a553-e30fd0a89e59,,split_by_expression,520;2920
31,send_message,30,1,@results.parenting_goal.category,has_any_word,1,,Would you like to know more about how to improve your relationship with your child?,Yes,No,,,,,,,,,,,,,a7561855-622b-4c08-a86d-8f5cc550122d,,execute_actions,100;3020
32,send_message,30,3,@results.parenting_goal.category,has_any_word,3,,Would you like know more about how to help your child learn?,Yes,No,,,,,,,,,,,,,1b448a6b-0147-401b-8d62-cd5e37d4d7ed,,execute_actions,2290;3040
