row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,b2932ea7-908a-4268-b09a-435bfc3b337c,,split_by_expression,525;
2,send_message,1,,@fields.user_name,has_text,user_name,,Hi @fields.user_name! Would you like to learn more about your children's development?,Give me more information,I am not interested,,,,,,,,,,,,,280eb3e2-ae06-4cfb-8b07-55fe7a5967d0,,execute_actions,400;200
3,send_message,1,,,,,,Hi! Would you like to learn more about your children's development?,Give me more information,I am not interested,,,,,,,,,,,,,f171f385-afc6-4828-88b2-6f6fd773fa8a,,execute_actions,650;200
4,wait_for_response,2;3,,,,,Result 1,,,,,,,,,,,,,,,,833b0ce0-7e99-4678-b352-a69eeb5e01c4,,wait_for_response,650;440
5,save_value,4,more information,,has_any_word,More,last interaction,@(now()),,,,,,,,,,,,,,,cf93333e-0326-43eb-b977-39c6d47361e6,,execute_actions,;460
6,start_new_flow,5,,,,,,PLH - Content - Extra - Development,,,,,,,,,,,,,,cc9b8048-d44d-4bd5-aeb9-d2b32ec5fb1f,d1cbf4e5-4888-4030-b177-f743468022f3,,split_by_subflow,;560
7,split_by_value,4,not no interested,,has_any_word,Not,,@fields.user_name,,,,,,,,,,,,,,,3215e6e7-646c-4761-a7fe-d8112605122e,,split_by_expression,795;640
8,send_message,7,,@fields.user_name,has_text,user_name,,"That's okay! You can always get more information by typing ""Help"". Chat later @fields.user_name!",,,,,,,,,,,,,,,96924825-30b4-4110-adb5-c0f8445b4a03,,execute_actions,670;840
9,send_message,7,,,,,,"That's okay! You can always get more information by typing ""Help"". Chat later!",,,,,,,,,,,,,,,1704dbaf-8202-4eeb-b6dd-ac2b217263ec,,execute_actions,920;840
10,save_value,8;9,,,,,last interaction,@(now()),,,,,,,,,,,,,,,df4196cd-e9f6-4875-b686-9896dc8f26b4,,execute_actions,650;1040
11,send_message,4,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,65320a72-3ed6-4efa-aae3-84fe32396622,,execute_actions,1280;520
12,save_value,11,,,,,last interaction,@(now()),,,,,,,,,,,,,,,6102b394-5319-475c-8170-f918bdcb294f,,execute_actions,1260;860
13,go_to,12,,,,,,1,,,,,,,,,,,,,,,,,,
