row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,save_value,start,,,,,survey covid count,"@(if( fields.survey_covid_count  < fields.max_skip_survey, if(fields.survey_covid_count = 0, 0, fields.survey_covid_count +1),0))",,,,,,,,,,,,,,,dbe0588f-1b1e-4acb-b8ee-6a059f89305e,,execute_actions,2780;
2,split_by_value,1,,,,,,@fields.user_name,,,,,,,,,,,,,,,7402be1e-7600-43c8-8713-12657bb9436e,,split_by_expression,2405;120
3,split_by_group,2,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,d40ff5a9-2e7a-486e-896e-771f7e8eaff8,,split_by_expression,2155;320
4,send_message,3,ABTest_test-first-person_alternative,,,,,"Hi @fields.user_name! I am delighted that you have signed up for these messages. It shows that you care!

Can I ask you some questions about COVID-19 in your area?",Yes,No,,,,,,,,,,,,,bd34ad32-6926-4ea6-9ff5-9ffc82d70d5e,,execute_actions,2280;720
5,send_message,3;3,ABTest_test-first-person_Default;,,,,,"Hi @fields.user_name! We are delighted that you have signed up for these messages. It shows that you care!

Can we ask you some questions about COVID-19 in your area?",Yes,No,,,,,,,,,,,,,c2315a3a-167c-46d9-b115-195180feb382,,execute_actions,2030;720
6,split_by_group,2,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,d83601cf-d45b-45eb-8ff3-cdfa9f0b546d,,split_by_expression,2655;520
7,send_message,6,ABTest_test-first-person_alternative,,,,,"Hi! I am delighted that you have signed up for these messages. It shows that you care!

Can I ask you some questions about COVID-19 in your area?",Yes,No,,,,,,,,,,,,,a0d04c82-6a37-4075-9d3d-c4eb52861192,,execute_actions,2780;720
8,send_message,6;6,ABTest_test-first-person_Default;,,,,,"Hi! We are delighted that you have signed up for these messages. It shows that you care!

Can we ask you some questions about COVID-19 in your area?",Yes,No,,,,,,,,,,,,,c406e1fd-11b2-4f5f-bb10-199429864ed7,,execute_actions,2530;720
9,wait_for_response,4;5;7;8,,,,,consent_survey,,,,,,,,,,,,,,,,740ea43a-7373-4aec-bf95-00412b3c3d49,,wait_for_response,2010;980
10,save_value,9,YES Y ,,has_any_word,Yes,last interaction,@(now()),,,,,,,,,,,,,,,9f3e2fda-0b34-4768-8744-66864b1d7338,,execute_actions,2800;1140
11,save_value,10,,,,,surveycovid datestamps,"@(fields.surveycovid_datestamps & ""yes,"" & fields.survey_number & "","" & now() & ""|"") ",,,,,,,,,,,,,,,9f3e2fda-0b34-4768-8744-66864b1d7338,,execute_actions,2800;1140
12,send_message,11,,,,,,Thanks! ,,,,,,,,,,,,,,,4521a4a1-c832-49e0-9132-2456b6795ac8,,execute_actions,3900;1300
13,save_value,9,NO N,,has_any_word,No,last interaction,@(now()),,,,,,,,,,,,,,,05bb21fa-c898-4c73-bf05-4222213e08c5,,execute_actions,1020;1100
14,save_value,13,,,,,surveycovid datestamps,"@(fields.surveycovid_datestamps & ""no,"" & fields.survey_number & "","" & now() & ""|"") ",,,,,,,,,,,,,,,05bb21fa-c898-4c73-bf05-4222213e08c5,,execute_actions,1020;1100
15,split_by_value,14,,,,,,@fields.survey_covid_count,,,,,,,,,,,,,,,c8d2d2d6-279b-4135-86a8-9594d15ca471,,split_by_contact_field,1040;1260
16,split_by_value,15,@fields.max_skip_survey,@fields.survey_covid_count,has_number_lte,<= Fields,,@fields.user_name,,,,,,,,,,,,,,,9bd378d4-00ac-4c22-891a-a2ee27a96526,,split_by_expression,375;1700
17,split_by_group,16,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,3adac81e-c044-46b2-9df8-1e5f0e8e92f3,,split_by_expression,125;1900
18,send_message,17,ABTest_test-first-person_alternative,,,,,It is okay if this is not a good time. I will try again tomorrow. Chat later @fields.user_name!,,,,,,,,,,,,,,,6632f353-8275-4e21-812e-cf31acb91878,,execute_actions,250;2300
19,send_message,17;17,ABTest_test-first-person_Default;,,,,,It is okay if this is not a good time. We will try again tomorrow. Chat later @fields.user_name!,,,,,,,,,,,,,,,14bc2f66-12aa-4bd4-94c7-703e803d69d3,,execute_actions,;2300
20,split_by_group,16,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,52e7592c-1542-4271-afb7-63ef04738d79,,split_by_expression,625;2100
21,send_message,20,ABTest_test-first-person_alternative,,,,,It is okay if this is not a good time. I will try again tomorrow. Chat later!,,,,,,,,,,,,,,,463d6fdc-eba1-456f-83db-5dcf85ab7653,,execute_actions,1000;2300
22,send_message,20;20,ABTest_test-first-person_Default;,,,,,It is okay if this is not a good time. We will try again tomorrow. Chat later!,,,,,,,,,,,,,,,c9c7a488-0c89-4f33-9acd-df92a019af1b,,execute_actions,500;2300
23,split_by_value,15,,,,,,@fields.user_name,,,,,,,,,,,,,,,6bf570c6-1eff-4c40-97fd-1a2d2d4bc8b0,,split_by_expression,1785;1360
24,send_message,23,,@fields.user_name,has_text,user_name,,It is okay if this is not a good time. Chat later @fields.user_name!,,,,,,,,,,,,,,,5a0f3c46-3a85-44ec-8d51-91fc1dbff63e,,execute_actions,1660;1560
25,send_message,23,,,,,,It is okay if this is not a good time. Chat later!,,,,,,,,,,,,,,,405a2653-920d-4735-916a-db301d11ffba,,execute_actions,1910;1560
26,save_value,9,,,,,last interaction,@(now()),,,,,,,,,,,,,,,35498ba7-9e1b-4347-8eba-9bec05fc6e75,,execute_actions,4290;940
27,send_message,26,,,,,,"Sorry, I don't understand what you mean. ",,,,,,,,,,,,,,,59037272-00ce-4dde-98e3-015e0aeb6037,,execute_actions,4660;760
28,go_to,27,,,,,,2,,,,,,,,,,,,,,,,,,
29,send_message,12,,,,,,Which is most like your experience?,Curfews,Non-essential shops closed,Non-essential production closed,Cancellation of recreational venues and closing of public places like parks,Stay-at-home orders and total movement controls,Social distancing and movement restrictions,No restrictions,Does not apply,Prefer not to answer,,,,,,93b5595f-0cda-41ab-a029-0e0b2f7fa3cb,,execute_actions,4680;1060
30,wait_for_response,29,,,,,main diff,,,,,,,,,,,,,,,,f04c0fa5-27fc-4ba5-9956-5c3ac8b645d6,,wait_for_response,3900;1600
31,save_value,30;30;30;30;30;30;30;30;30,Curfews;shops;production;recreational venues;Stay-at-home orders;distancing;no restrictions;apply;prefer,,has_any_word;has_any_word;has_any_word;has_any_word;has_any_word;has_any_word;has_only_phrase;has_any_word;has_any_word,Curfews;Shops;Production;Recreational venues;Stay at home;Distancing;no Restrictions;Apply;Prefer,survey covid experience,@results.main_diff.category,,,,,,,,,,,,,,,d506f4b7-184d-4dcb-ab80-2ebfca3bbf4e,,execute_actions,4720;2360
32,send_message,30,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,9d08fd9e-acaf-4c97-95ff-593dee94380c,,execute_actions,5290;940
33,go_to,32,,,,,,29,,,,,,,,,,,,,,,,,,
34,send_message,31,,,,,,Are your children currently going to school/daycare? ,Yes,No,,,,,,,,,,,,,cfd1e6af-2aea-4160-a0a8-48407b324f4a,,execute_actions,4250;2440
35,wait_for_response,34,,,,,school,,,,,,,,,,,,,,,,5d041e5c-cef0-4045-89e1-afe0b261029e,,wait_for_response,4270;2640
36,split_by_group,35,no n,,has_any_word,No,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,b9b76d4f-b826-4d12-af5b-000146554d8c,,split_by_expression,5005;2740
37,send_message,36,ABTest_test-first-person_alternative,,,,,"It is normal to feel overwhelmed or stressed about your children's education during this time. Remember that you are not alone and that I am here to help. Just type ""Help"" at anytime.",,,,,,,,,,,,,,,0022f04c-f895-47cc-a87c-756b02786c84,,execute_actions,5130;2940
38,send_message,36;36,ABTest_test-first-person_Default;,,,,,"It is normal to feel overwhelmed or stressed about your children's education during this time. Remember that you are not alone and that we are here to help. Just type ""Help"" at anytime.",,,,,,,,,,,,,,,0e4ad089-d5f6-410a-9669-c36e17160306,,execute_actions,4880;2940
39,save_value,35;37;38,yes y;;,,has_any_word;;,Yes;;,survey covid school,@results.school.category,,,,,,,,,,,,,,,c494311f-6356-4a0f-84d5-683313db5b31,,execute_actions,3980;3040
40,send_message,35,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,a4e16add-35a6-42b2-88f7-7f3e30a55418,,execute_actions,5130;2540
41,go_to,40,,,,,,34,,,,,,,,,,,,,,,,,,
42,send_message,39,,,,,,Have you had money problems because of COVID-19 or pandemic restrictions?,Yes,No,,,,,,,,,,,,,d1f89e61-1074-4800-9f1f-515543cda83d,,execute_actions,1990;3140
43,wait_for_response,42,,,,,money,,,,,,,,,,,,,,,,5b85f2c8-c57f-4341-baab-5190bddff5e5,,wait_for_response,1970;3320
44,split_by_group,43,yes y,,has_any_word,Yes,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,fea6f3aa-2ff4-48bf-b0be-89bb7be8f03e,,split_by_expression,875;3400
45,send_message,44,ABTest_test-first-person_alternative,,,,,I am sorry that you have been dealing with money problems due to COVID-19. ,,,,,,,,,,,,,,,b8fcd6a9-8122-4c09-9be1-eac8dd603c16,,execute_actions,1000;3600
46,send_message,44;44,ABTest_test-first-person_Default;,,,,,We are sorry that you have been dealing with money problems due to COVID-19. ,,,,,,,,,,,,,,,bf83137e-e55c-41a8-a9d2-93719d5e5105,,execute_actions,750;3600
47,split_by_group,43,no n,,has_any_word,No,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,cd5171b6-22a3-4eac-9580-fb2a2b29f01d,,split_by_expression,4125;3660
48,send_message,47,ABTest_test-first-person_alternative,,,,,I am happy to hear that. Because money is often a big issue you can also find family budgeting tips in the Help menu.,,,,,,,,,,,,,,,6d0ac12c-43d7-48d0-b080-f28d0f2a67f7,,execute_actions,4250;3860
49,send_message,47;47,ABTest_test-first-person_Default;,,,,,We are happy to hear that. Because money is often a big issue you can also find family budgeting tips in the Help menu.,,,,,,,,,,,,,,,866c569e-8fb6-4c77-a964-a4ae54022cf9,,execute_actions,4000;3860
50,save_value,45;46;48;49,,,,,surveyCOVIDmoney,@results.money.category,,,,,,,,,,,,,,,5684c3f5-bcde-4ef6-a611-605f81993ce6,,execute_actions,2780;3900
51,send_message,43,,,,,,"Sorry, I don't understand what you mean.",,,,,,,,,,,,,,,cfcfe458-f6fa-4650-b468-73c5c19f3932,,execute_actions,4290;3240
52,go_to,51,,,,,,42,,,,,,,,,,,,,,,,,,
53,send_message,50,,,,,,Has someone in your family been sick for a long time with COVID-19?,Yes,No,,,,,,,,,,,,,51535dfd-cb1f-4812-a726-c8f8536698d2,,execute_actions,1930;4000
54,wait_for_response,53,,,,,sick,,,,,,,,,,,,,,,,372c53ab-ce52-48ff-bc22-f670f2b19b4f,,wait_for_response,3130;4180
55,split_by_group,54,yes y,,has_any_word,Yes,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,353430ae-a635-414a-960a-63c09e953e9d,,split_by_expression,1225;4280
56,send_message,55,ABTest_test-first-person_alternative,,,,,"I am sorry that you have been struggling with a sick family member. Caring for someone with COVID-19 for so long is hard. Remember that caring for yourself is equally important and we will remind you regularly to relax, recognise and reward yourself. You deserve this.",,,,,,,,,,,,,,,b21ad870-e2c8-488d-a25d-2c2886acf956,,execute_actions,1600;4480
57,send_message,55;55,ABTest_test-first-person_Default;,,,,,"We are sorry that you have been struggling with a sick family member. Caring for someone with COVID-19 for so long is hard. Remember that caring for yourself is equally important and we will remind you regularly to relax, recognise and reward yourself. You deserve this.",,,,,,,,,,,,,,,fa407636-17de-4235-a5ab-1fb6ca9b3df6,,execute_actions,1100;4480
58,split_by_group,54,no n,,has_any_word,No,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,174f6f09-285d-4b5e-a5a1-f3e9d39bf533,,split_by_expression,2945;4960
59,send_message,58,ABTest_test-first-person_alternative,,,,,I am happy to hear that.,,,,,,,,,,,,,,,a0c1ca5b-e47f-45a6-9cf9-66e1d4c5dd4e,,execute_actions,3070;5160
