row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
1,split_by_value,start,,,,,,@fields.user_name,,,,,,,,,,,,,,,ab9b1be8-db56-42d9-a094-fd5f2a8bf408,,split_by_expression,9455;
2,split_by_group,1,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,898e0033-e3c4-404f-830c-ee1c8b96c628,,split_by_expression,9205;200
3,send_message,2,ABTest_test-first-person_alternative,,,,,"Thanks so much @fields.user_name! We all want the best for our children as parents. I am here to help! 
Could you please choose the goal that is most important to you as a parent?",Improve my relationship with my child,My child to behave better,My child to do better at school,To talk to my child about COVID-19,"Feel less stress, loneliness or anger",Worry less about money,Less conflict in my family,Know more about how to keep my child safe,How to support children living with disabilities,Other goal,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/stressed_parent.jpg,,,,eea75296-389c-4c7c-b670-a93bf18fe767,,execute_actions,9330;600
4,send_message,2;2,ABTest_test-first-person_Default;,,,,,"Thanks so much @fields.user_name! We all want the best for our children as parents. We are here to help! 
Could you please choose the goal that is most important to you as a parent?",Improve my relationship with my child,My child to behave better,My child to do better at school,To talk to my child about COVID-19,"Feel less stress, loneliness or anger",Worry less about money,Less conflict in my family,Know more about how to keep my child safe,How to support children living with disabilities,Other goal,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/stressed_parent.jpg,,,,90788fd4-1d8b-4aa9-aea0-3ca60579c1d6,,execute_actions,9080;600
5,split_by_group,1,,,,,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,f6f427b0-ecb9-434c-94e3-736e6bae448c,,split_by_expression,9705;400
6,send_message,5,ABTest_test-first-person_alternative,,,,,"Thanks so much! We all want the best for our children as parents. I am here to help! 
Could you please choose the goal that is most important to you as a parent?",Improve my relationship with my child,My child to behave better,My child to do better at school,To talk to my child about COVID-19,"Feel less stress, loneliness or anger",Worry less about money,Less conflict in my family,Know more about how to keep my child safe,How to support children living with disabilities,Other goal,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/stressed_parent.jpg,,,,29f56505-85d8-4bd0-bead-e1d92a5b3151,,execute_actions,10080;600
7,send_message,5;5,ABTest_test-first-person_Default;,,,,,"Thanks so much! We all want the best for our children as parents. We are here to help! 
Could you please choose the goal that is most important to you as a parent?",Improve my relationship with my child,My child to behave better,My child to do better at school,To talk to my child about COVID-19,"Feel less stress, loneliness or anger",Worry less about money,Less conflict in my family,Know more about how to keep my child safe,How to support children living with disabilities,Other goal,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/stressed_parent.jpg,,,,12d52307-699e-4e28-9c0d-e36d5a4883e3,,execute_actions,9580;600
8,wait_for_response,3;4;6;7,,,,,parenting goal,,,,,,,,,,,,,,,,4e7b478d-95ea-4236-bc21-b3f0b46c2c1b,,wait_for_response,880;1300
9,split_by_value,8,Improve my relationship with my child,,has_only_phrase,1,,@fields.age_group_for_tips,,,,,,,,,,,,,,,acd3142b-040d-4ad6-9012-d4fa1f4f2a3b,,split_by_contact_field,370;2200
10,split_by_value,9,baby,@fields.age_group_for_tips,has_any_word,Baby,,@fields.child_nickname,,,,,,,,,,,,,,,86cae24e-779d-4946-be06-8a4d14b34b65,,split_by_expression,125;2720
11,send_message,10,,@fields.child_nickname,has_text,child_nickname,,"Quick tip: When you give your baby your full attention, you make them feel secure and loved. Try to spend at least 20 minutes a day playing with @fields.child_nickname. Switch off the television and put away phones. Make it fun!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/parent_and_baby.jpg,,,,a62a01f8-8faf-45ee-8dd3-cba72cdbc021,,execute_actions,;2920
